sentences,base,contrast,contrast_rnd
Sonny didn't have,-1.0,-1.0,-1.0
And don't miss,-1.0,-1.0,-1.0
But he didn't want to cause,-1.0,-1.0,-1.0
«It could be that the papers didn't get,0.92113525,1.0,1.0
I hadn't seen,-1.0,-1.0,-1.0
"The sink was empty, and there weren't",0.35873768,0.68460345,0.6368497
"All the returns were in date order, but there weren't",-0.3220556,0.0814006,0.41360664
I wasn't going to have,-1.0,-1.0,-1.0
"The sink was empty, and there weren't",0.72945553,0.29916397,0.3858166
I didn't see,-1.0,-1.0,-1.0
"I shuffled backwards, making sure the cable didn't have",-1.0,-1.0,-1.0
"No one was sure how it was going to work, because there weren't",0.021779252,0.1105467,0.38837203
We didn't have,-1.0,-1.0,-1.0
I thought you said you don't have,-1.0,-0.9589786,-1.0
The boss said: 'There aren't,0.55359465,1.0,1.0
The only negative so far was that there weren't,0.038817834,0.3319558,0.1907395
I don't know,1.0,0.19601415,-0.701251
I don't think he had,-1.0,-1.0,-1.0
Sally didn't seem to have,-0.7878513,0.14311837,0.18109591
We won't have,-1.0,-1.0,-1.0
"Besides, I hadn't heard",-1.0,-1.0,-0.49163312
There aren't,1.0,1.0,1.0
Stacey doesn't have,-1.0,-0.8145315,-1.0
So far I hadn't taken,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
But Carolyn didn't make,-1.0,-1.0,-1.0
I haven't heard,-1.0,-1.0,-1.0
You wouldn't want to pull,-0.25044495,-0.049173467,0.03928693
And there aren't,1.0,0.7641315,0.42412865
But Ashley doesn't seem to want,-1.0,-1.0,-1.0
He doesn't know whether,-1.0,-1.0,-1.0
I felt like I just didn't have,-1.0,-1.0,-1.0
she doesn't have,-1.0,-1.0,-1.0
"""Becca sang out, """"Rudolph the Red-Nosed Reindeer, wasn't wearing",-1.0,-0.28229573,-0.7352023
"Until today, David Michael didn't have",-0.6768735,-1.0,-0.61849225
But I don't have,-1.0,-1.0,-1.0
"Well, at least there aren't",-1.0,-0.17173438,0.46514773
There aren't,1.0,1.0,1.0
I don't see,-1.0,-1.0,-1.0
And I haven't made,-1.0,-1.0,-0.6817569
"My dad is a lawyer and he works long hours, I don't have",-1.0,-1.0,-1.0
"After all, I don't want",-1.0,-1.0,-1.0
I didn't see,-1.0,-1.0,-1.0
There weren't,1.0,1.0,1.0
Naturally Carol hadn't brought,-0.8451872,-1.0,-1.0
Robert hadn't mentioned,-1.0,-1.0,-1.0
He gives his social studies homework to a guy on our team — I won't mention,-1.0,-0.23465091,-0.3775901
She didn't see,-1.0,-1.0,-1.0
"I was confused and unhappy and sick, and I didn't have",-0.708197,-1.0,-1.0
I really didn't want,-1.0,-1.0,-1.0
Apparently Lucivar didn't have,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
He wasn't winning,-1.0,-0.45770586,-0.40038636
He hadn't had,-1.0,-1.0,-1.0
Or there won't be,-0.6333188,-0.49397287,-0.37480587
"Provided, of course, that there aren't",0.46559063,0.6492038,0.59707373
So they hadn't put,-1.0,-1.0,-1.0
That didn't earn him,-1.0,-1.0,-1.0
There haven't been,0.49207962,0.29397509,0.32833356
There aren't,1.0,1.0,1.0
I hope you don't have,-0.7260979,-0.8458454,-0.8128479
It doesn't give,-1.0,-1.0,-1.0
He didn't break,-1.0,-0.31012586,-1.0
There aren't,1.0,1.0,1.0
There won't be,-1.0,-0.6529875,-0.5588586
But we don't have,-1.0,-1.0,-1.0
"For example, she didn't get",-0.40879583,-0.56061655,-0.73022515
He doesn't hold,-1.0,-1.0,-0.42243573
I wasn't wearing,-1.0,-1.0,-1.0
She didn't have,-1.0,-1.0,-1.0
I hope that we won't have,-1.0,-1.0,-0.89755917
I hope you haven't told,-1.0,-1.0,-1.0
That's why I don't have,-1.0,-1.0,-1.0
And since I didn't see,-1.0,-1.0,-1.0
He didn't have,-1.0,-1.0,-1.0
There weren't,1.0,1.0,1.0
There weren't,1.0,1.0,1.0
He hadn't felt,-1.0,-1.0,-1.0
"He still had plenty of questions, plenty of doubts, but he wouldn't get",1.0,1.0,1.0
"His head pounded, but he didn't seem to have",0.16310465,0.5778627,0.37993088
I don't see,-1.0,-1.0,-1.0
I don't see,-1.0,-0.696265,-0.7408086
He didn't turn on,-1.0,-1.0,-1.0
"Besides, there haven't been",-0.10057873,-0.1935006,0.3123521
Widdershins didn't hear,-0.4701246,0.04763547,-0.4628187
And there aren't,1.0,1.0,1.0
So why don't we postpone,-1.0,-1.0,-1.0
We didn't see,-1.0,-1.0,-1.0
And I haven't uncovered,-0.18320502,-1.0,-1.0
The analysis won't give,-1.0,-1.0,-1.0
We haven't uncovered,-1.0,-1.0,-1.0
I didn't bring,-1.0,-1.0,-1.0
We don't want,-1.0,-1.0,-1.0
He don't make,-1.0,-1.0,-1.0
I don't make,-1.0,-1.0,-1.0
He won't make,-1.0,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
"Dark trees lined the road on both sides, and there didn't seem to be",0.18362828,-0.078332044,0.5442208
I haven't heard,-1.0,-1.0,-1.0
I haven't given you,-0.94068855,-0.8583456,-0.9716791
There aren't,1.0,1.0,1.0
There aren't,1.0,1.0,1.0
We don't dare take,-1.0,-1.0,-1.0
We don't want,-1.0,-1.0,-1.0
"You keep pressing us for answers, when we haven't",0.5465106,0.22910339,0.5975511
I didn't know,-0.9732809,-0.3209302,-1.0
Since we both understand and there aren't,-0.0071562543,0.6709428,-0.016096687
We won't discuss,-1.0,-1.0,-1.0
"Durrani's lips were moving, but he wasn't gelling",1.0,1.0,1.0
There aren't,1.0,1.0,1.0
The dog didn't seem to have,-0.7251788,-0.57193536,0.0129771875
I don't have,-1.0,-1.0,-1.0
He wasn't keeping,-0.45428133,-1.0,-1.0
"""Well, if they could hold him as their prisoner, Gil snapped, """"they sure as hell won't have",0.15202053,-0.5744277,0.72488564
"He turned his face to the shadows of the wall, but Rudy wasn't going to take",0.36621195,-0.40200073,-0.3349207
"But there are formalities to be observed, and he didn't have",-1.0,-1.0,-1.0
And don't give Trixy,-0.8373848,-1.0,-0.8856456
But at least he doesn't make,-1.0,-1.0,-1.0
He hoped that the others hadn't had,-1.0,-1.0,-0.9318352
You're… you're showing… you don't have,-0.8016995,-0.63850343,-0.10713859
"Based on past experience, I didn't have",-1.0,-1.0,-1.0
I didn't have,-1.0,-1.0,-1.0
Too bad I don't know,0.39397395,0.5529714,1.0
We don't need,-1.0,-1.0,-1.0
"From everything I can tell, they don't have",-1.0,-1.0,-1.0
You don't have,-0.9379126,-1.0,-1.0
"I mean, shit, the guy doesn't have",-1.0,-1.0,-1.0
"They've had to pay twice now, and she wants to make sure there aren't",-0.23187543,0.0020353827,-0.3053703
And I didn't see,-1.0,-1.0,-1.0
He didn't ask,-1.0,-0.6263381,-1.0
"In fact, I haven't heard",0.5156085,1.0,0.022959394
And I damn sure won't take,-1.0,-0.5715695,-0.65640354
We haven't gotten,-0.31318527,-0.5331575,-0.10438572
"Besides, I don't think I had",0.44774917,-0.013398118,-0.6601632
"""He realized that he hadn't done",-0.8835258,-0.3126342,-0.6723938
That was why he didn't want,-1.0,-1.0,-1.0
There don't seem to be,-0.20001909,-0.29846922,0.19077739
I haven't seen,-1.0,-1.0,-1.0
We weren't expecting,-1.0,-1.0,-1.0
I won't waste,-1.0,-1.0,-1.0
I won't waste,-1.0,-1.0,-1.0
I haven't got,-1.0,-1.0,-1.0
You haven't given me,-0.54220575,0.012279418,-0.7692917
I definitely don't want to miss,-1.0,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
Allen won't take,-1.0,-1.0,-1.0
But he hadn't taken,-1.0,-1.0,-1.0
I don't anticipate,-1.0,-1.0,-1.0
I'd bet my life that our mystery man didn't leave,0.70852506,0.57359666,1.0
I haven't got,-1.0,-1.0,-1.0
Guess I don't have,-1.0,-0.7982181,0.17009264
There aren't,1.0,1.0,1.0
There aren't,1.0,1.0,1.0
He didn't have,-1.0,-1.0,-1.0
I don't want to hear,-0.3089871,-0.5572301,-0.76328754
And there won't be,-0.01886578,0.25473088,-0.0014132173
Only this time I didn't have,-1.0,-1.0,-1.0
He sure hadn't needed,-1.0,-1.0,-1.0
And I don't want,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
We don't have,-1.0,-1.0,-1.0
We don't want,-1.0,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
I look real sexy when I don't have,-1.0,-0.4302878,-0.42306137
I don't have,-0.98687136,-1.0,-1.0
You don't have,-1.0,-1.0,-0.69623375
She sure didn't have,-1.0,-1.0,-1.0
Long as you don't have,-1.0,-1.0,-1.0
They sure hadn't had,-1.0,-1.0,-1.0
"Come on, guys, let us see how you come when there aren't",0.31163478,0.2478748,0.3015559
"After all, apple pie tasted best when one hadn't had",-0.25677186,-0.32083967,-0.23317848
But Marge didn't show,-1.0,-1.0,-1.0
"Besides, he hadn't sold",-1.0,-1.0,-1.0
"Apparently, something had unsettled Telrii so much that he wasn't taking",-1.0,-1.0,-0.8125915
But his face didn't show,-1.0,-1.0,-1.0
I won't soon win,-1.0,-1.0,-0.7324609
My grandchildren are going to be disappointed that I don't have,-1.0,-1.0,-0.20452398
Ten years ago there weren't,-0.24770476,0.8751418,-0.023042852
"The liquid must be ingested, and the victim won't display",0.1944928,-0.42306352,0.12506491
There weren't,1.0,1.0,1.0
"There weren't, of course,",0.327526,0.7579181,0.75968635
But when Kaladin didn't make,-1.0,-1.0,-1.0
Either he didn't bring,-1.0,-0.91111416,-0.7374205
Jasnah hadn't made,-1.0,-1.0,-1.0
"Rock's touch was deft, and Kaladin didn't feel",0.6712157,0.2237726,-0.012368538
She didn't know of,-1.0,-1.0,-1.0
Wash the wound to make sure there aren't,0.19381008,0.18217847,0.52610385
We don't answer to,-0.37544933,-0.20876023,-0.29136327
Gavin hadn't made,-1.0,-1.0,-1.0
"Her hair was askew, but he didn't see",-0.31696188,-0.28457466,-0.6557685
Karris didn't see,-1.0,-1.0,-1.0
Give me a chance to check around a little more to be plumb certain she hasn't got,-1.0,-1.0,-1.0
She paid up her first week's bill promptly and we haven't,1.0,0.9485335,1.0
"Look, I don't have",-0.58844566,-1.0,-0.44562203
He didn't have,-1.0,-1.0,-1.0
He checked the bedroom and the bathroom and didn't find,-1.0,-1.0,-0.6397938
"She knew that he expected her to cry, but she didn't have",-1.0,-1.0,-0.8058098
We don't share,-1.0,-1.0,-1.0
"In the meantime, Mr Bradley isn't answering",-0.3205009,0.20270783,-0.07824369
Just don't have,-1.0,-1.0,-1.0
She didn't have,-1.0,-1.0,-1.0
She didn't make,-1.0,-1.0,-1.0
"Stride added, 'The police officers who searched the house didn't find",-0.88632375,-1.0,-0.65830165
We didn't have,-1.0,-1.0,-1.0
I don't recall,-0.42332572,-0.27175996,-0.35640612
You don't seem to have,-0.061441716,0.27218089,-0.5811243
"He walked up and down the street, but he didn't see",-1.0,-0.24166052,-0.99618953
No wonder be hadn't seen,-0.49115244,-0.89459056,-0.29113698
There didn't seem to be,-0.23413324,-0.08469898,-0.031150302
There didn't seem to be,-0.13740882,-0.26000255,-0.4540774
There didn't seem to be,-0.20245744,-0.23474272,-0.5688293
It only took Jose about two seconds to find that she didn't have,-1.0,-1.0,-1.0
"Unfortunately, Greenwinter came from the mountains, and there certainly aren't",0.72242445,0.43824184,0.33490533
I wouldn't trust,-1.0,-1.0,-1.0
I don't see,-1.0,-1.0,-1.0
There haven't been,0.3751012,0.4500786,0.5758982
"I needs some advice and help, nothing more, 'cept I don't want",-1.0,-1.0,-1.0
I don't think it has,-1.0,-1.0,-1.0
"Some went over-board and gave the black pits a ride, in the old style, but they didn't pick up",-0.36287323,-0.5859119,-0.26427957
"Maybe she did, but he didn't trust",-1.0,-1.0,-1.0
I don't want,-1.0,-1.0,-1.0
"Ollie called, and she let her mobile ring through to voice mail, because she didn't have",-0.7766948,-1.0,-1.0
He was gonna buy two dogs — wasn't gonna let,-1.0,-1.0,-0.80078036
There weren't,1.0,1.0,1.0
But Roy didn't see,-1.0,-1.0,-1.0
"""It looks like candle wax, Joe said, """"but I don't see",0.49515757,0.45587102,0.32475054
But don't ask,-0.3978052,-0.7302984,-0.9433034
"Under the circumstances, you probably don't want",-1.0,-1.0,-1.0
"Anyhow, I didn't hear",0.18342192,0.45477018,0.33465436
"For another, there aren't",-0.29336664,1.0,-0.17489132
She didn't waste,-1.0,-1.0,-1.0
I'd say your mother doesn't want,-1.0,-1.0,-1.0
He didn't seem to have,-0.5856596,-0.76701444,-0.923694
I don't have,-1.0,-1.0,-1.0
"The police cars and yellow crime-scene tape were gone, and she didn't see",0.37486994,0.49185178,0.7465653
I didn't want to sound,-0.8879423,-1.0,-0.9736975
She didn't see,-1.0,-1.0,-0.61734474
"I guess, but I don't have",-1.0,-1.0,-1.0
And he wasn't taking,0.012329495,1.0,-0.14649397
The tap was empty and I didn't see,-0.906163,-0.6295103,-1.0
But obviously Yank hadn't given her,-1.0,-1.0,-1.0
"Thanks for answering a question or two, and please…don't hold",-0.76745313,-0.7282082,-0.21039893
"I know you found your way home from this place more than once, but don't go taking",-0.38960683,1.0,0.89407593
I didn't find,-1.0,-1.0,-1.0
"""But I didn't have",-1.0,-0.96708715,-1.0
Maybe because the rustling sounded like curtains and there weren't,0.6419432,0.6621014,0.27639169
There weren't,1.0,1.0,1.0
Even if you don't have,-1.0,-1.0,-1.0
"From the looks of things, he'd be willing to bet that she wasn't wearing",-1.0,-0.9313563,-0.46949124
So that's why he didn't leave,-0.8775879,-0.6194317,-1.0
I haven't been doing,-1.0,-1.0,-1.0
I didn't hear,-1.0,-1.0,-1.0
I hadn't played,-1.0,-1.0,-1.0
I wasn't going to find,-1.0,-1.0,-0.46539313
The Coroner up there hasn't received,0.35218567,1.0,0.46805212
I thought Jace didn't have,-1.0,-1.0,-1.0
The name didn't ring,-0.89941174,-0.8356136,-1.0
"I was surprised to see a customer in the shop, since there weren't",0.29391515,0.31068885,0.44110286
I don't want,-1.0,-1.0,-1.0
There hadn't been,0.01401438,0.24219002,0.2904496
I haven't done,-1.0,-1.0,-1.0
She didn't need,-1.0,-1.0,-1.0
There weren't,1.0,1.0,1.0
I didn't set,-1.0,-1.0,-1.0
There hadn't been,-0.06425858,0.08543056,0.13112721
She hasn't had,-1.0,-1.0,-1.0
The couples don't have,-1.0,-1.0,-1.0
We don't have,-1.0,-1.0,-1.0
And he didn't have,-1.0,-1.0,-0.95127034
But Danny didn't know of,-1.0,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
And didn't have,-1.0,-1.0,-1.0
And that was all right because there weren't,0.26587313,0.63536334,0.61796117
He didn't give off,-1.0,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
I don't want to make,-1.0,-1.0,-0.9015024
But there weren't,1.0,0.6485254,1.0
I don't see,-1.0,-0.7692552,-1.0
But the individual wasn't,1.0,1.0,1.0
I don't in,-1.0,-1.0,-1.0
I don't want,-1.0,-1.0,-1.0
We won't take,-1.0,-1.0,-1.0
Well you won't be,1.0,1.0,1.0
I haven't got,-1.0,-1.0,-1.0
"And this time, she didn't leave",-0.40449286,-0.31731543,-0.46903908
"And besides, I didn't see",-0.51679975,-0.698618,-0.25430977
I don't want to have,-1.0,-1.0,-0.86929023
I haven't tripped,1.0,1.0,1.0
And I didn't do you,-0.17133255,0.7844854,1.0
I didn't have,-1.0,-1.0,-1.0
"My nephew wondered if he'd been shell-shocked, but I didn't see",-0.41288462,-1.0,-0.102666214
"She must have been one of the casualties, because I haven't had",-1.0,-1.0,-1.0
"I swear, I won't ask you",0.9122662,0.7417268,0.97405535
"On the other hand, I hadn't had",-1.0,-1.0,-1.0
They also pointed up the fact that Victoria hadn't planted,-1.0,-1.0,-0.22000995
We don't have,-1.0,-1.0,-1.0
She was striking and uninhibited and I didn't have,-1.0,-1.0,-0.77335876
— Best make sure I don't got,-0.047335543,0.3394518,0.3301563
Especially since I don't know,0.33911407,0.464188,0.4431743
He was doing so much squealing he confessed he hadn't paid,-1.0,-1.0,-1.0
I don't want,-1.0,-1.0,-1.0
I said I didn't have,-1.0,-1.0,-1.0
I wouldn't make,-1.0,-1.0,-1.0
"And what was more, he wasn't taking",0.4790571,0.9326472,0.6997849
He hadn't made,-1.0,-1.0,-1.0
Slick's face didn't show,-1.0,-1.0,-0.9334626
The woman across the way lost interest and returned to her chores when she didn't hear,-0.35863563,0.0972639,-0.20056805
Since there weren't,1.0,1.0,0.58460474
There aren't,1.0,1.0,1.0
And I don't want,-1.0,-1.0,-1.0
"Charlotte had stopped bleeding, and she certainly wasn't showing",0.44776416,0.55149233,0.8847256
"And other than this old man, there didn't seem to be",-0.06727493,0.3711482,0.07277155
I don't know,-0.46993518,-0.47613293,0.77122575
"Maybe, he concluded, it was because they didn't have",-1.0,-1.0,-1.0
She didn't see,-1.0,-1.0,-1.0
She hadn't found,-1.0,-1.0,-1.0
He didn't take,-1.0,-1.0,-1.0
I don't know,-0.33032063,0.97623056,0.06703445
"Four more women were listed, but they didn't have",-1.0,-1.0,-1.0
He didn't ask,-1.0,-1.0,-1.0
"She could stab him with it, but it wouldn't do",-1.0,-0.8486169,-0.63482887
There weren't,1.0,1.0,1.0
NCIC didn't contain,-1.0,-1.0,-1.0
It didn't contain,-1.0,-1.0,-1.0
She checked the two locks and didn't see,-1.0,-1.0,-1.0
He didn't have,-1.0,-1.0,-1.0
I don't see,-1.0,-1.0,-1.0
She hadn't seen,-1.0,-1.0,-1.0
"She looked over her shoulder, the muscles groaning in protest, and didn't see",0.7993044,-0.09461177,0.4627699
"He never knew his grandparents, and his mother was an only child so there weren't",0.27836725,0.39908603,0.44619682
JR. didn't have,-1.0,-0.92449814,-1.0
The problem is McFadden didn't have,-1.0,-1.0,-1.0
He didn't make,-1.0,-1.0,-1.0
"As you can see, there aren't",0.5035,0.22672164,0.10628359
She doesn't keep,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
There haven't been,0.2648637,0.24515723,0.6148128
I don't need,-1.0,-1.0,-1.0
There weren't,1.0,1.0,1.0
We don't have,-1.0,-1.0,-1.0
"""No, said Bryan , """"I don't think I've",0.873641,1.0,1.0
He doesn't have,-1.0,-1.0,-1.0
I didn't detect,-1.0,-1.0,-1.0
Ryland wasn't about to take,-0.7765236,-0.96969604,-0.5597641
There aren't,1.0,1.0,1.0
I don't have,-1.0,-1.0,-1.0
Posturing and threatening each other isn't winning,-1.0,0.055736065,0.4242011
There aren't,1.0,1.0,0.016263554
But you don't want to take,-0.3870913,-0.82391924,-0.2692631
I don't know,0.111986995,-0.18091005,-0.22312364
"Indeed, we didn't create",-1.0,-1.0,-1.0
There hasn't been,0.4119777,0.42769682,0.8209025
We won't have,-1.0,-1.0,-1.0
We don't have,-1.0,-1.0,-1.0
Quinn would have sworn there hadn't been,0.23706727,-0.1739609,-0.036820225
I don't see,-1.0,-1.0,-1.0
"""The front desk girl says, """"I don't hear",0.51454693,0.6105231,0.30438223
"""The mouth says, """"He doesn't have",-0.6480718,-0.9623379,-1.0
"After all, this wasn't",0.071426295,-0.045183565,-0.37244055
I don't have,-1.0,-1.0,-1.0
I didn't see you slay,-1.0,-1.0,-0.3343143
We won't have,-1.0,-1.0,-1.0
That's why there aren't,0.2503033,0.4324481,0.30556187
There weren't,1.0,1.0,1.0
There aren't,1.0,1.0,1.0
It hasn't,-0.14650117,-1.0,-1.0
"Ronnie whistled softly, he could hardly believe his luck, she wasn't wearing",0.2244171,0.21020731,-0.10095528
I've got a good family; don't have,-0.72335285,-1.0,-0.40944523
I don't see,-1.0,-0.95045507,-1.0
"It hadn't, by",-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
It won't try,-1.0,-1.0,-1.0
Maxine hadn't taken,-1.0,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
I don't know,-0.5257003,0.18382873,-0.32250905
There aren't,1.0,1.0,1.0
They didn't make,-1.0,-1.0,-1.0
I won't make,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
‘I don't want to break,-0.3964792,-0.2500366,0.1548458
There certainly wouldn't be,-0.5211093,-0.113946855,-0.44335046
You better hope he hasn't,1.0,1.0,1.0
I haven't had,-1.0,-1.0,-1.0
I know for a fact there aren't,0.51715446,0.8537294,1.0
Strange that you didn't find,-1.0,-1.0,-1.0
There won't be,-0.5738443,-0.8487175,-0.7025326
They won't have,-1.0,-1.0,-1.0
There weren't,1.0,1.0,1.0
There aren't,1.0,1.0,1.0
It won't raise,-0.97431684,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
I think they looked at it and realized it was from a child so there aren't,-0.08358462,0.3021685,-0.003051162
"Nothing to suggest there'd been foul play, and there hadn't been",0.29209566,0.63915575,0.58937895
especially since we didn't have,-1.0,-1.0,-1.0
There weren't,1.0,1.0,1.0
I didn't see,-1.0,-1.0,-1.0
I don't seem to have,-1.0,-0.9271143,-0.70540446
`I haven't,1.0,1.0,0.17490585
I don't see,-1.0,-0.90953696,-0.60374296
I haven't met,-1.0,-0.96792835,-1.0
But he hadn't,0.04498733,-0.06467148,-0.30274615
There aren't,1.0,1.0,1.0
I didn't see,-1.0,-1.0,-1.0
"Luckily, so far there haven't been",0.72164136,0.8273396,0.72239727
Won't make,-0.8297799,-0.9789582,-0.9642935
Doesn't ring,-1.0,-1.0,-1.0
I don't have,-1.0,-1.0,-1.0
I don't know,0.5738951,-0.318687,0.40564707
I need to make certain there weren't,0.013739662,0.75128835,0.32433924
She still doesn't have,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
There hadn't been,0.2327766,0.11425816,0.35395798
There weren't,1.0,1.0,1.0
There weren't,1.0,1.0,1.0
"In fact, there didn't seem to be",0.26979297,-0.26520357,0.81225353
There wouldn't be,0.34200698,0.8433576,1.0
Perhaps because she didn't want to take,-1.0,-1.0,-1.0
There aren't,1.0,1.0,1.0
Couldn't get,-1.0,-1.0,-1.0
But of course he wouldn't have,0.110783674,-0.40735316,0.6133241
I don't have,-1.0,-1.0,-1.0
"I mean, you realize there aren't",0.59232706,0.32936814,0.9202084
She knew there weren't,0.052933466,0.34399673,0.6414314
It'd be more fun if you didn't have,-1.0,-1.0,-1.0
It made Pat's prick hard but Sue didn't play,-0.30666766,0.06574311,-0.33900985
You're my roommate – and more now – and I don't want,-1.0,-1.0,-1.0
"My one major asset, unique and inimitable, only I hadn't scored",-0.50910205,-0.44402513,-0.012943423
Grus hadn't issued,-1.0,-1.0,-1.0
You won't find,-1.0,-1.0,-1.0
"Johnny Killain, you haven't",1.0,0.9086229,1.0
I don't see,-1.0,-1.0,-1.0
I don't see,-1.0,-1.0,-1.0
Maybe they don't have,-1.0,-1.0,-1.0
I don't see,-1.0,-1.0,-1.0
His secretary told us that he didn't have,-1.0,-1.0,-1.0
