sentences,base,contrast,contrast_rnd
I wasn't carrying out,6.0249057,5.786553,5.7691784
That's why we didn't ask,0.14662535,0.2595476,0.5703136
‘You don't have,-39.44941,-39.2498,-39.31349
"Leastways, he didn't show",0.37778223,0.22452258,0.38942844
We don't have,1.3276724,1.1780308,1.0118568
There aren't,22.277325,22.98354,23.156467
Unlike Lin I don't have,-0.8917111,-0.62872195,-0.6239636
I hadn't opened,2.63724,2.6472237,2.7894516
We won't have,0.4849587,0.41171065,0.40247795
I won't give,-5.311364,-5.5912943,-4.6470456
He had moved from the floor to the bed and lain down on the thin mattress that didn't have,0.2389179,0.35724282,0.32729292
I haven't sensed,6.455265,6.6904907,6.5564694
Just don't make,-1.9371538,-2.2234912,-1.6957476
We didn't see,-0.6352167,-0.8846571,-0.5397622
We haven't seen,7.1027336,6.5369906,7.5827293
"And, Tas, we didn't sight",0.1086203,-0.18746896,-0.29165518
Otherwise there won't be,-0.46426862,-0.34499142,0.17608169
She'd agreed to everything and I knew she hadn't been hurt in,3.4567337,2.7472048,2.525991
I don't have,-0.13459282,0.11821462,0.19431818
I didn't see,-0.41817346,-0.44657177,-0.508845
But I didn't see,-0.43857738,-0.3864954,-0.48562187
I knew I wouldn't find,4.579508,4.46458,4.4234233
She won't be,-3.4224775,-3.225802,-2.4799802
Make sure there aren't,7.4658613,7.9206605,7.748016
He kept looking around attentively but didn't spot,-0.0044408664,0.059881635,-0.065127134
There aren't,22.277325,22.98354,23.156467
She didn't put,5.680555,6.057116,5.822362
Sonny didn't have,-0.51927257,-0.40712228,-0.043223277
And don't miss,-2.4044662,-2.6247168,-2.139641
But he didn't want to cause,1.4441069,1.4680955,1.5591639
«It could be that the papers didn't get,1.1367713,1.2053871,1.2998269
I hadn't seen,5.416912,5.3028803,5.6397524
"The sink was empty, and there weren't",3.8967075,4.141664,4.180007
"All the returns were in date order, but there weren't",1.5445294,1.8366237,1.8405683
I wasn't going to have,1.1874039,1.3110832,1.1686368
"The sink was empty, and there weren't",3.8967075,4.141664,4.180007
I didn't see,-0.41817346,-0.44657177,-0.508845
"I shuffled backwards, making sure the cable didn't have",-1.3627385,-1.110659,-1.109452
"No one was sure how it was going to work, because there weren't",5.9108458,6.1481185,6.069069
We didn't have,-1.4577796,-1.2028968,-1.6201024
I thought you said you don't have,1.4716469,1.7101488,1.8809466
The boss said: 'There aren't,2.5241632,2.7332683,2.7433515
The only negative so far was that there weren't,4.361629,4.788121,4.422961
I don't know,3.1374218,3.0949862,3.8626437
I don't think he had,0.36157283,0.4207193,0.78430426
Sally didn't seem to have,-1.1089652,-0.9893997,-0.8274689
We won't have,0.4849587,0.41171065,0.40247795
"Besides, I hadn't heard",-0.7707193,-0.7486292,-0.6109068
There aren't,22.277325,22.98354,23.156467
Stacey doesn't have,-1.4194846,-1.3962342,-1.124749
So far I hadn't taken,1.6793925,1.7768208,1.8328445
There aren't,22.277325,22.98354,23.156467
But Carolyn didn't make,3.3306415,3.5963705,4.1585093
I haven't heard,4.4438176,4.8345447,4.4388156
You wouldn't want to pull,0.6948774,0.94232893,0.767319
And there aren't,7.6019697,8.007204,8.1086035
But Ashley doesn't seem to want,-9.553049,-9.640923,-9.373825
He doesn't know whether,1.075354,0.83183545,0.69355917
I felt like I just didn't have,-0.53713894,-0.30860323,-0.077941164
she doesn't have,-0.6711318,-0.24864927,-0.2332311
"""Becca sang out, """"Rudolph the Red-Nosed Reindeer, wasn't wearing",0.4025194,0.46198916,0.30895442
"Until today, David Michael didn't have",-2.301571,-2.0254388,-1.9914552
But I don't have,0.5099953,0.67076313,0.64665025
"Well, at least there aren't",1.7540652,2.0911574,2.023518
There aren't,22.277325,22.98354,23.156467
I don't see,0.3309852,0.24593309,0.30262408
And I haven't made,0.78887284,0.96554923,1.1001027
"My dad is a lawyer and he works long hours, I don't have",0.49803522,0.7090617,0.6259636
"After all, I don't want",-1.6284496,-1.7289891,-1.5361309
I didn't see,-0.41817346,-0.44657177,-0.508845
There weren't,16.246693,17.12653,17.017818
Naturally Carol hadn't brought,0.7287799,0.9535505,1.2898872
Robert hadn't mentioned,-0.2700256,-0.2162885,-0.199633
He gives his social studies homework to a guy on our team — I won't mention,-1.3598948,-1.5315089,-1.5746849
She didn't see,-0.70685434,-0.9501811,-0.4249484
"I was confused and unhappy and sick, and I didn't have",0.75946915,0.8546047,0.6531702
I really didn't want,-57.35196,-57.224792,-57.0247
Apparently Lucivar didn't have,-2.3401968,-2.2694964,-2.071082
There aren't,22.277325,22.98354,23.156467
He wasn't winning,0.7313289,0.76343584,0.8647458
He hadn't had,-1.4562426,-1.33727,-1.759882
Or there won't be,-0.6036949,-0.5592135,0.10306507
"Provided, of course, that there aren't",1.5574257,1.9839133,1.7599024
So they hadn't put,1.758714,1.9492543,1.8896493
That didn't earn him,-3.2290354,-3.3663204,-2.9941564
There haven't been,-2.0758398,-1.5706313,-0.47470903
There aren't,22.277325,22.98354,23.156467
I hope you don't have,-10.68391,-10.535101,-10.068893
It doesn't give,-3.1547444,-2.8828232,-2.9159129
He didn't break,-4.5591035,-4.416832,-4.4686756
There aren't,22.277325,22.98354,23.156467
There won't be,-17.69844,-16.813433,-15.577871
But we don't have,-0.009940468,0.12251435,0.16881847
"For example, she didn't get",-0.40549874,-0.25092864,-0.25719857
He doesn't hold,3.722483,4.0566325,3.869039
I wasn't wearing,1.1820703,1.176775,0.83145875
She didn't have,-4.508333,-4.25321,-4.440225
I hope that we won't have,-0.92598844,-1.0034693,-0.9561088
I hope you haven't told,0.7300713,1.016844,1.0891927
That's why I don't have,-0.12268483,-0.044781074,-0.0020922124
And since I didn't see,-0.15875113,-0.21093172,-0.2900137
He didn't have,-7.711586,-7.5902033,-7.896208
There weren't,16.246693,17.12653,17.017818
There weren't,16.246693,17.12653,17.017818
He hadn't felt,0.5479386,0.49817932,0.35168475
"He still had plenty of questions, plenty of doubts, but he wouldn't get",1.6552178,1.8973671,1.585729
"His head pounded, but he didn't seem to have",0.029246122,0.031981945,-0.070775
I don't see,0.3309852,0.24593309,0.30262408
I don't see,0.3309852,0.24593309,0.30262408
He didn't turn on,5.0311995,4.981249,4.722618
"Besides, there haven't been",-1.8251446,-1.859904,-1.3523693
Widdershins didn't hear,1.564988,1.4016805,1.5810448
And there aren't,7.6019697,8.007204,8.1086035
So why don't we postpone,2.2551136,1.9534812,2.2315931
We didn't see,-0.6352167,-0.8846571,-0.5397622
And I haven't uncovered,1.2471834,1.2675864,1.1805799
The analysis won't give,0.8901428,0.915014,1.3230226
We haven't uncovered,6.299362,6.072433,6.046769
I didn't bring,-1.8289244,-1.7842283,-1.4571075
We don't want,1.8843186,1.6978393,2.091063
He don't make,-3.3348572,-3.0941987,-2.8861783
I don't make,0.27134126,0.20492837,0.57495946
He won't make,-0.26243728,-0.15884444,0.44782946
I don't have,-0.13459282,0.11821462,0.19431818
"Dark trees lined the road on both sides, and there didn't seem to be",-0.10610041,-0.09800625,-0.1580486
I haven't heard,4.4438176,4.8345447,4.4388156
I haven't given you,-0.7231878,-0.31763256,-1.0072857
There aren't,22.277325,22.98354,23.156467
There aren't,22.277325,22.98354,23.156467
We don't dare take,0.6630819,0.543271,1.0463684
We don't want,1.8843186,1.6978393,2.091063
"You keep pressing us for answers, when we haven't",-1.2856653,-1.366314,-1.2680445
I didn't know,2.9637122,2.9618444,3.349131
Since we both understand and there aren't,0.36443046,0.59074205,0.52043134
We won't discuss,-2.246503,-2.8460288,-2.0880604
"Durrani's lips were moving, but he wasn't gelling",-0.49729976,-0.26328924,-0.60114545
There aren't,22.277325,22.98354,23.156467
The dog didn't seem to have,-0.35298488,-0.27042013,-0.3694774
I don't have,-0.13459282,0.11821462,0.19431818
He wasn't keeping,3.1823227,3.4253778,2.682044
"""Well, if they could hold him as their prisoner, Gil snapped, """"they sure as hell won't have",-1.4140036,-1.4831324,-1.427511
"He turned his face to the shadows of the wall, but Rudy wasn't going to take",0.29436696,0.28454787,0.036687702
"But there are formalities to be observed, and he didn't have",-7.48538,-7.5593514,-7.7606535
And don't give Trixy,-3.969435,-3.8224401,-3.6211414
But at least he doesn't make,1.3281279,1.142549,1.1873868
He hoped that the others hadn't had,0.32305226,0.45270228,0.38566953
You're… you're showing… you don't have,-1.6234143,-1.3280205,-1.3761947
"Based on past experience, I didn't have",-2.5176287,-2.4593172,-2.5782065
I didn't have,-5.747894,-5.328346,-5.632659
Too bad I don't know,1.4494393,1.7496036,1.8927572
We don't need,-2.8298264,-3.0018604,-2.4463465
"From everything I can tell, they don't have",-0.5741975,-0.47033268,-0.34605852
You don't have,-212.93744,-212.16571,-211.99036
"I mean, shit, the guy doesn't have",-0.38165382,-0.27400053,-0.17055428
"They've had to pay twice now, and she wants to make sure there aren't",1.8824823,2.2912822,2.1306422
And I didn't see,-0.48604202,-0.45970353,-0.612915
He didn't ask,-3.7881184,-3.7262876,-3.713232
"In fact, I haven't heard",1.2220886,1.2433338,1.367069
And I damn sure won't take,0.25720352,0.35385174,0.56040514
We haven't gotten,6.3360376,6.209125,6.2174463
"Besides, I don't think I had",-0.7156162,-0.65108603,-0.54924405
"""He realized that he hadn't done",1.3837128,1.508422,1.2523998
That was why he didn't want,-15.527544,-15.601278,-15.540272
There don't seem to be,-2.0444384,-1.4027765,-0.7537662
I haven't seen,5.410234,5.5244374,5.6539927
We weren't expecting,-0.61612976,-0.4525429,-0.36011454
I won't waste,-5.540287,-5.50721,-4.707077
I won't waste,-5.540287,-5.50721,-4.707077
I haven't got,3.0444877,3.39016,2.9853697
You haven't given me,-3.3254726,-2.774644,-3.7465713
I definitely don't want to miss,0.06277876,0.059630275,0.39410612
I don't have,-0.13459282,0.11821462,0.19431818
Allen won't take,-0.39336708,-0.41306776,-0.669886
But he hadn't taken,1.2296147,1.351191,1.1250383
I don't anticipate,1.3998967,1.4976437,1.9293884
I'd bet my life that our mystery man didn't leave,2.61679,2.592914,2.74399
I haven't got,3.0444877,3.39016,2.9853697
Guess I don't have,-1.904849,-1.7004434,-1.5299518
There aren't,22.277325,22.98354,23.156467
There aren't,22.277325,22.98354,23.156467
He didn't have,-7.711586,-7.5902033,-7.896208
I don't want to hear,-0.6533464,-0.85234284,-0.5094107
And there won't be,-0.19989547,0.04990834,0.47146308
Only this time I didn't have,-12.026035,-12.051289,-12.088635
He sure hadn't needed,-0.59337825,-0.26660955,-0.6708286
And I don't want,-10.49522,-10.565976,-10.312902
There aren't,22.277325,22.98354,23.156467
We don't have,1.3276724,1.1780308,1.0118568
We don't want,1.8843186,1.6978393,2.091063
I don't have,-0.13459282,0.11821462,0.19431818
I look real sexy when I don't have,-0.21310502,-0.010962628,0.17249943
I don't have,-0.13459282,0.11821462,0.19431818
You don't have,-212.93744,-212.16571,-211.99036
She sure didn't have,-0.5094441,-0.53105664,-0.100756764
Long as you don't have,-0.13449208,-0.12706259,0.0935912
They sure hadn't had,-0.20693842,-0.04445988,-0.20488858
"Come on, guys, let us see how you come when there aren't",0.24540651,0.7513528,0.3905949
"After all, apple pie tasted best when one hadn't had",1.1303184,1.3805904,0.8123691
But Marge didn't show,1.3801891,1.5755069,2.063387
"Besides, he hadn't sold",0.770916,0.7750244,0.6613326
"Apparently, something had unsettled Telrii so much that he wasn't taking",0.26829645,0.45268923,0.1517019
But his face didn't show,0.89443433,0.9987698,1.2267107
I won't soon win,-2.0283837,-2.0954297,-1.0276489
My grandchildren are going to be disappointed that I don't have,0.19960234,0.0018984415,0.025762755
Ten years ago there weren't,12.442049,12.517827,12.382151
"The liquid must be ingested, and the victim won't display",3.0908916,3.420658,2.6899571
There weren't,16.246693,17.12653,17.017818
"There weren't, of course,",9.151323,10.518539,11.344567
But when Kaladin didn't make,1.1618298,1.2946901,1.5579457
Either he didn't bring,0.30700505,0.45294052,0.6305382
Jasnah hadn't made,0.36388484,0.6875349,1.03314
"Rock's touch was deft, and Kaladin didn't feel",0.94713783,0.792691,0.73516583
She didn't know of,2.211877,2.2332022,2.6278074
Wash the wound to make sure there aren't,6.303843,6.7262588,6.6889586
We don't answer to,2.428758,2.4072962,2.7595806
Gavin hadn't made,1.4017104,1.9305425,2.1586854
"Her hair was askew, but he didn't see",0.1213551,0.13622442,-0.043418296
Karris didn't see,1.9958754,1.96439,2.4305727
Give me a chance to check around a little more to be plumb certain she hasn't got,-0.75548273,-0.85912853,-0.5306252
She paid up her first week's bill promptly and we haven't,3.563539,3.7780871,3.684873
"Look, I don't have",0.38390517,0.63547516,0.5587404
He didn't have,-7.711586,-7.5902033,-7.896208
He checked the bedroom and the bathroom and didn't find,3.703185,3.743413,3.6077652
"She knew that he expected her to cry, but she didn't have",-3.6514263,-3.7726161,-3.8195257
We don't share,0.18772241,-0.0169736,0.38408583
"In the meantime, Mr Bradley isn't answering",0.86910856,1.1182861,0.84764004
Just don't have,-6.8389153,-6.9071846,-6.8001575
She didn't have,-4.508333,-4.25321,-4.440225
She didn't make,1.5776913,1.5992992,2.2279847
"Stride added, 'The police officers who searched the house didn't find",2.677981,2.6344633,2.3464003
We didn't have,-1.4577796,-1.2028968,-1.6201024
I don't recall,0.9473459,0.7456598,0.96143615
You don't seem to have,-3.642178,-3.9039693,-3.8565135
"He walked up and down the street, but he didn't see",-0.1792793,-0.20866588,-0.31818905
No wonder be hadn't seen,1.5817779,1.7330884,1.4096203
There didn't seem to be,-11.453786,-10.859654,-9.665731
There didn't seem to be,-11.453786,-10.859654,-9.665731
There didn't seem to be,-11.453786,-10.859654,-9.665731
It only took Jose about two seconds to find that she didn't have,-0.33090916,-0.19689101,-0.35704213
"Unfortunately, Greenwinter came from the mountains, and there certainly aren't",1.7171427,1.8826157,1.8698245
I wouldn't trust,-0.32827783,-0.14841187,0.4755535
I don't see,0.3309852,0.24593309,0.30262408
There haven't been,-2.0758398,-1.5706313,-0.47470903
"I needs some advice and help, nothing more, 'cept I don't want",-2.102686,-2.045675,-2.1063519
I don't think it has,0.054495733,0.13947505,0.40849453
"Some went over-board and gave the black pits a ride, in the old style, but they didn't pick up",2.2435405,2.4231863,2.4143896
"Maybe she did, but he didn't trust",0.6275345,0.7255029,0.7669423
I don't want,-14.001939,-14.054201,-13.802122
"Ollie called, and she let her mobile ring through to voice mail, because she didn't have",-0.691231,-0.6488458,-0.73360336
He was gonna buy two dogs — wasn't gonna let,-0.102598116,0.0718985,0.054075077
There weren't,16.246693,17.12653,17.017818
But Roy didn't see,0.48698008,0.44580293,0.8014774
"""It looks like candle wax, Joe said, """"but I don't see",0.05510647,0.08637364,0.048336454
But don't ask,5.2823253,4.9970217,6.2715592
"Under the circumstances, you probably don't want",-15.301515,-15.224175,-15.08387
"Anyhow, I didn't hear",0.74546343,0.7517152,0.71670914
"For another, there aren't",6.4702325,6.8002615,6.8641143
She didn't waste,-0.2947392,-0.19077803,0.13850543
I'd say your mother doesn't want,-0.31706372,-0.3305118,-0.11878511
He didn't seem to have,-2.8264184,-2.9159203,-3.1191943
I don't have,-0.13459282,0.11821462,0.19431818
"The police cars and yellow crime-scene tape were gone, and she didn't see",0.8326267,0.8844172,0.8418479
I didn't want to sound,-3.0701072,-3.376125,-3.1689575
She didn't see,-0.70685434,-0.9501811,-0.4249484
"I guess, but I don't have",0.38218737,0.59581923,0.5592472
And he wasn't taking,-0.5166232,-0.38301873,-0.72977483
The tap was empty and I didn't see,1.8588448,1.9132125,1.690964
But obviously Yank hadn't given her,0.06623936,0.15131858,0.97705984
"Thanks for answering a question or two, and please…don't hold",1.3832535,1.6612025,1.6106447
"I know you found your way home from this place more than once, but don't go taking",-0.038477097,0.1480448,0.031195248
I didn't find,1.1103855,1.0690352,1.1035079
"""But I didn't have",-1.803933,-1.6604878,-1.8490772
Maybe because the rustling sounded like curtains and there weren't,3.5719953,3.94409,3.7868443
There weren't,16.246693,17.12653,17.017818
Even if you don't have,-0.2523874,-0.28801453,-0.089061305
"From the looks of things, he'd be willing to bet that she wasn't wearing",0.6483183,0.8073791,0.684241
So that's why he didn't leave,0.2579546,0.42939582,0.56497055
I haven't been doing,-1.0035979,-0.7182809,-0.7874953
I didn't hear,0.47469592,0.39757407,0.32619464
I hadn't played,1.1426938,1.2247258,1.2264882
I wasn't going to find,2.1825116,2.352265,2.433898
The Coroner up there hasn't received,0.3391481,0.409722,0.20823035
I thought Jace didn't have,-0.7994876,-0.36215547,-0.45107388
The name didn't ring,-5.1764083,-5.2585783,-4.546866
"I was surprised to see a customer in the shop, since there weren't",1.6149055,1.8941464,1.572644
I don't want,-14.001939,-14.054201,-13.802122
There hadn't been,-5.311917,-4.811554,-4.2556396
I haven't done,2.572078,2.9500642,2.573574
She didn't need,-14.311048,-14.587037,-14.233402
There weren't,16.246693,17.12653,17.017818
I didn't set,-1.0367136,-1.0803664,-1.1512508
There hadn't been,-5.311917,-4.811554,-4.2556396
She hasn't had,-0.04230827,0.5200311,0.96509355
The couples don't have,0.56636804,0.9275193,0.9003983
We don't have,1.3276724,1.1780308,1.0118568
And he didn't have,-2.7935598,-2.7887921,-2.8234386
But Danny didn't know of,3.7039318,3.936945,4.2483625
I don't have,-0.13459282,0.11821462,0.19431818
And didn't have,-5.5960226,-5.8990307,-5.105118
And that was all right because there weren't,1.7590516,2.1538768,1.8153281
He didn't give off,-3.2624443,-3.430869,-3.4088323
I don't have,-0.13459282,0.11821462,0.19431818
I don't want to make,-0.1673797,-0.22463731,-0.02998048
But there weren't,8.729517,9.146074,8.801216
I don't see,0.3309852,0.24593309,0.30262408
But the individual wasn't,12.309731,12.533545,12.330399
I don't in,1.7563132,1.6555904,1.6592503
I don't want,-14.001939,-14.054201,-13.802122
We won't take,-1.0013129,-0.93274,-0.3740421
Well you won't be,-2.3432984,-2.3648632,-1.6824446
I haven't got,3.0444877,3.39016,2.9853697
"And this time, she didn't leave",-0.5908539,-0.6264533,-0.3415298
"And besides, I didn't see",-0.12793422,-0.15124226,-0.3988503
I don't want to have,-0.4243818,-0.56249297,-0.33501726
I haven't tripped,8.835882,9.219879,9.799931
And I didn't do you,-1.0710677,-0.92856383,-1.3211436
I didn't have,-5.747894,-5.328346,-5.632659
"My nephew wondered if he'd been shell-shocked, but I didn't see",0.6364342,0.61861247,0.4896987
"She must have been one of the casualties, because I haven't had",-0.31717473,-0.26572952,-0.29735762
"I swear, I won't ask you",-0.46599177,-0.4041291,-0.44853184
"On the other hand, I hadn't had",1.2539644,1.196394,1.0967419
They also pointed up the fact that Victoria hadn't planted,0.5601308,0.7516985,0.63443375
We don't have,1.3276724,1.1780308,1.0118568
She was striking and uninhibited and I didn't have,1.6175876,1.6501201,1.6642861
— Best make sure I don't got,-1.0136149,-1.0704869,-0.75245976
Especially since I don't know,0.5945496,0.6580808,0.8291787
He was doing so much squealing he confessed he hadn't paid,-0.24200296,0.042509437,0.073741406
I don't want,-14.001939,-14.054201,-13.802122
I said I didn't have,-1.9874642,-1.7411317,-1.901018
I wouldn't make,2.7769437,2.976007,3.5372593
"And what was more, he wasn't taking",0.33816156,0.42303035,0.104854345
He hadn't made,0.7224671,0.8642169,0.89560723
Slick's face didn't show,1.2589793,1.3476807,1.7036712
The woman across the way lost interest and returned to her chores when she didn't hear,0.21810968,0.21914187,0.5114386
Since there weren't,12.050138,12.248648,11.815795
There aren't,22.277325,22.98354,23.156467
And I don't want,-10.49522,-10.565976,-10.312902
"Charlotte had stopped bleeding, and she certainly wasn't showing",0.9201008,0.9472151,0.8251578
"And other than this old man, there didn't seem to be",-1.1647545,-0.8983762,-1.0402794
I don't know,3.1374218,3.0949862,3.8626437
"Maybe, he concluded, it was because they didn't have",-0.03565819,0.08279,0.16736856
She didn't see,-0.70685434,-0.9501811,-0.4249484
She hadn't found,3.153481,3.0465922,2.7626233
He didn't take,0.15694411,0.051975235,-0.44158512
I don't know,3.1374218,3.0949862,3.8626437
"Four more women were listed, but they didn't have",-0.7102198,-0.6813801,-0.6126838
He didn't ask,-3.7881184,-3.7262876,-3.713232
"She could stab him with it, but it wouldn't do",0.34691817,0.32614547,0.04713887
There weren't,16.246693,17.12653,17.017818
NCIC didn't contain,5.5960493,5.634411,5.902016
It didn't contain,4.2081146,4.322297,3.8187268
She checked the two locks and didn't see,0.7688135,0.8064789,0.62713104
He didn't have,-7.711586,-7.5902033,-7.896208
I don't see,0.3309852,0.24593309,0.30262408
She hadn't seen,5.207845,5.06359,5.289569
"She looked over her shoulder, the muscles groaning in protest, and didn't see",2.4860365,2.6004798,2.2119226
"He never knew his grandparents, and his mother was an only child so there weren't",16.960814,17.212015,17.05358
JR. didn't have,0.9336288,0.8392656,1.0657243
The problem is McFadden didn't have,-3.6153095,-3.4576044,-3.3600874
He didn't make,0.20530689,0.11429636,0.45582917
"As you can see, there aren't",4.798484,5.017856,5.1153774
She doesn't keep,-1.2512118,-1.0503877,-0.8712403
There aren't,22.277325,22.98354,23.156467
There haven't been,-2.0758398,-1.5706313,-0.47470903
I don't need,-8.186141,-8.227231,-7.784028
There weren't,16.246693,17.12653,17.017818
We don't have,1.3276724,1.1780308,1.0118568
"""No, said Bryan , """"I don't think I've",0.65428025,0.66435325,0.6198492
He doesn't have,-5.005342,-4.6617737,-4.8137255
I didn't detect,1.7323235,1.6139672,1.626938
Ryland wasn't about to take,-0.10014781,0.070576295,-0.10303445
There aren't,22.277325,22.98354,23.156467
I don't have,-0.13459282,0.11821462,0.19431818
Posturing and threatening each other isn't winning,3.1601338,2.9043083,3.6012812
There aren't,22.277325,22.98354,23.156467
But you don't want to take,-0.06756452,-0.09061182,0.15445587
I don't know,3.1374218,3.0949862,3.8626437
"Indeed, we didn't create",0.09956561,0.24790746,0.14847508
There hasn't been,7.1746435,7.56435,8.478124
We won't have,0.4849587,0.41171065,0.40247795
We don't have,1.3276724,1.1780308,1.0118568
Quinn would have sworn there hadn't been,-3.2357345,-4.734652,-3.6146533
I don't see,0.3309852,0.24593309,0.30262408
"""The front desk girl says, """"I don't hear",1.1072724,1.1545566,1.0956057
"""The mouth says, """"He doesn't have",-0.1467539,0.012588546,-0.11737953
"After all, this wasn't",-0.38436073,-0.29384106,-0.29381973
I don't have,-0.13459282,0.11821462,0.19431818
I didn't see you slay,-1.06128,-1.130492,-1.2922113
We won't have,0.4849587,0.41171065,0.40247795
That's why there aren't,4.3922067,4.6182737,4.562831
There weren't,16.246693,17.12653,17.017818
There aren't,22.277325,22.98354,23.156467
It hasn't,1.7328334,2.2049437,2.2044468
"Ronnie whistled softly, he could hardly believe his luck, she wasn't wearing",1.530656,1.6269013,1.5244864
I've got a good family; don't have,2.419105,2.7838774,2.6661456
I don't see,0.3309852,0.24593309,0.30262408
"It hadn't, by",-9.16852,-8.83157,-8.6764
There aren't,22.277325,22.98354,23.156467
It won't try,2.9986732,2.8890066,3.4135933
Maxine hadn't taken,4.39136,4.8418612,4.7826276
I don't have,-0.13459282,0.11821462,0.19431818
I don't know,3.1374218,3.0949862,3.8626437
There aren't,22.277325,22.98354,23.156467
They didn't make,1.2792429,1.2413408,1.7032608
I won't make,-2.016854,-2.1133907,-0.531209
There aren't,22.277325,22.98354,23.156467
‘I don't want to break,0.17372903,0.062278844,0.34413046
There certainly wouldn't be,-9.11235,-8.665888,-8.217248
You better hope he hasn't,1.6272498,1.8852288,1.5944704
I haven't had,1.4377086,1.7396758,1.7755977
I know for a fact there aren't,1.7985088,2.004375,1.9028996
Strange that you didn't find,-0.38383716,-0.15095201,0.2229406
There won't be,-17.69844,-16.813433,-15.577871
They won't have,-0.71318257,-0.77660435,-0.37119126
There weren't,16.246693,17.12653,17.017818
There aren't,22.277325,22.98354,23.156467
It won't raise,5.45201,5.486468,5.7478256
I don't have,-0.13459282,0.11821462,0.19431818
I think they looked at it and realized it was from a child so there aren't,2.6959202,3.0910206,2.867881
"Nothing to suggest there'd been foul play, and there hadn't been",2.41238,2.6779935,2.8185568
