sentences,base,contrast,contrast_rnd
It doesn't seem we have,0.09533166,0.17353067,-0.41170067
"Of course, that won't stop",-0.09416083,-0.07199319,-0.39751998
There aren't,-0.4224878,-0.014652854,-0.17394882
But as she hasn't got,-0.26983094,0.40094978,0.037839822
But there aren't,-0.26737458,-0.2769622,-0.4177337
That means that we don't have,-0.38901994,-0.15511273,0.26512346
Maggie had been exposed but didn't show,0.8426535,1.0,0.07933781
Patrick noticed she didn't have,0.45356107,-0.032419566,-0.06560159
There weren't,-0.082495034,0.087177396,0.46592638
And the building didn't have,0.8081912,0.071449384,0.49002475
He wasn't going to take,0.8039678,0.36736405,0.15743457
And she didn't have,-0.42239773,0.17415202,0.22502136
I didn't prescribe,0.6104667,0.42999557,0.12948048
"True, we haven't crossed",0.058449354,-0.178336,-0.361777
Didn't know they had,-0.12971526,0.6034585,-0.55051214
He didn't have to add,-0.063364014,0.021378262,-0.028383313
I wasn't carrying out,-0.1503861,0.07829435,0.11128391
That's why we didn't ask,0.33047295,0.041287642,0.22410999
‘You don't have,0.06560758,0.058762044,-0.85865796
"Leastways, he didn't show",0.23667131,0.12511928,0.46197206
We don't have,0.3725377,0.34551302,0.4976148
There aren't,-0.16523862,-0.059325665,-0.12893839
Unlike Lin I don't have,-0.034470815,-0.4156079,-0.59624976
I hadn't opened,-0.44382843,-0.3012871,-0.10165085
We won't have,0.11276164,0.29302758,0.18427427
I won't give,0.023156641,-0.028245246,0.12313602
He had moved from the floor to the bed and lain down on the thin mattress that didn't have,-0.14878991,0.17843531,0.72598034
I haven't sensed,0.5774814,0.5946047,0.6369966
Just don't make,0.02409929,-0.048931878,-0.061075523
We didn't see,0.2717664,0.041135892,0.038526393
We haven't seen,0.32320166,-0.17759062,-0.25137463
"And, Tas, we didn't sight",0.53307974,0.18845393,0.826437
Otherwise there won't be,-1.0,-0.58896536,-0.36428413
She'd agreed to everything and I knew she hadn't been hurt in,0.1620057,0.05589937,-0.09613477
I don't have,0.44565192,0.49403647,0.37100193
I didn't see,-0.057982087,0.07954096,0.24302882
But I didn't see,-0.11494899,-0.96664906,-0.20400062
I knew I wouldn't find,-0.44559008,0.21834362,-0.1471834
She won't be,1.0,1.0,0.3796655
Make sure there aren't,-0.36466745,-0.0759553,-0.26564127
He kept looking around attentively but didn't spot,-0.063015044,-0.21608394,0.27395815
There aren't,-0.10535784,-0.043844406,0.040769346
She didn't put,0.41273823,0.22285137,0.1751302
Sonny didn't have,0.1297885,0.23974052,-0.13865452
And don't miss,-0.14249085,-0.14238222,-0.13944729
But he didn't want to cause,0.45562595,-0.011752064,-0.03885511
«It could be that the papers didn't get,0.11653618,0.21237788,-0.073399216
I hadn't seen,0.3000939,0.38540375,0.35080388
"The sink was empty, and there weren't",0.14662339,0.27544698,-0.18638885
"All the returns were in date order, but there weren't",0.1463501,0.102909416,-0.28152293
I wasn't going to have,0.27403742,0.97518843,0.17294379
"The sink was empty, and there weren't",0.002561502,0.02326812,-0.39589933
I didn't see,0.4373931,0.17262352,0.29196814
"I shuffled backwards, making sure the cable didn't have",0.053456314,1.0,0.617444
"No one was sure how it was going to work, because there weren't",0.080349274,0.18582724,0.21528627
We didn't have,0.21095918,0.36444464,0.34094128
I thought you said you don't have,-0.033679232,0.032982703,-0.64560574
The boss said: 'There aren't,0.07851796,0.15056011,-0.19064774
The only negative so far was that there weren't,-0.26910248,-0.31927413,-0.58977985
I don't know,0.2284114,0.7466927,0.40668964
I don't think he had,-0.08880463,0.947137,0.08259213
Sally didn't seem to have,0.89335716,0.49393812,-0.23802277
We won't have,0.07240246,0.12933427,0.19107549
"Besides, I hadn't heard",0.15665814,-0.20141871,0.75428885
There aren't,-0.06841409,-0.05184055,-0.005182049
Stacey doesn't have,-0.13057943,0.5204779,0.3124617
So far I hadn't taken,-0.11016012,-0.18267985,-0.2652344
There aren't,-0.09342673,-0.02965072,0.013687888
But Carolyn didn't make,0.04659797,-0.024203971,-0.0043218094
I haven't heard,0.46580562,0.4001906,0.090765685
You wouldn't want to pull,-0.06927666,-0.58674276,-0.79108083
And there aren't,-0.22062609,-0.31110916,-0.078392185
But Ashley doesn't seem to want,0.13651548,0.1806767,0.2360061
He doesn't know whether,0.35234338,0.20164816,0.035078593
I felt like I just didn't have,0.31804726,0.040681962,-0.43446416
she doesn't have,0.40567744,0.69619954,0.6528045
"""Becca sang out, """"Rudolph the Red-Nosed Reindeer, wasn't wearing",0.6172559,0.32341203,0.20102584
"Until today, David Michael didn't have",0.39293212,0.19598751,1.0
But I don't have,-0.09176971,-0.026074115,-0.2530682
"Well, at least there aren't",0.45539197,0.43232474,0.2070961
There aren't,-0.24413843,0.007168758,-0.062031806
I don't see,0.4556762,1.0,0.5398573
And I haven't made,-0.20188858,0.053189423,0.4284109
"My dad is a lawyer and he works long hours, I don't have",0.65764093,1.0,0.2953152
"After all, I don't want",0.09913614,-0.2775948,0.13500415
I didn't see,0.30967718,0.36729896,0.09697253
There weren't,0.3160986,-0.033684976,0.029629512
Naturally Carol hadn't brought,-0.17746277,-0.14700109,-0.3394864
Robert hadn't mentioned,0.38212392,0.54167193,0.23194209
He gives his social studies homework to a guy on our team — I won't mention,0.624859,0.71326977,0.2533671
She didn't see,0.15880013,0.29266143,0.31843957
"I was confused and unhappy and sick, and I didn't have",0.39744347,0.578426,0.014160302
I really didn't want,-0.2860103,-0.20631568,-0.15754743
Apparently Lucivar didn't have,0.104014575,0.17207971,0.45086396
There aren't,-0.04265989,0.04661908,-0.14223786
He wasn't winning,0.8545345,0.5711908,0.636826
He hadn't had,0.17832485,0.28607002,0.31607354
Or there won't be,-0.7313356,-0.21806908,-1.0
"Provided, of course, that there aren't",0.06914305,-0.2814543,0.012502052
So they hadn't put,-0.24949193,-0.388856,-0.28148076
That didn't earn him,-0.65197533,-0.6642031,-0.57107323
There haven't been,-1.0,-1.0,-1.0
There aren't,-0.13702244,0.048867837,0.030840645
I hope you don't have,-0.22917084,-0.05223166,0.23327415
It doesn't give,0.22671707,0.26389253,-0.21707486
He didn't break,1.0,-0.062341657,0.06024845
There aren't,-0.04927264,0.16335553,0.035112042
There won't be,0.08423371,-0.28157178,-0.79462725
But we don't have,0.013449574,-0.080262624,-0.18687697
"For example, she didn't get",-0.5979128,-0.5015783,-1.0
He doesn't hold,1.0,-0.15004873,0.042339075
I wasn't wearing,-0.0036867422,0.06908535,-0.14195491
She didn't have,0.38837567,0.06659474,0.2582373
I hope that we won't have,0.2273856,-0.38053605,-0.087529115
I hope you haven't told,-0.47386295,-0.0006179347,-0.2622081
That's why I don't have,-0.07256238,-0.11984424,-0.4981287
And since I didn't see,-0.27012894,-0.76025516,-0.24259903
He didn't have,0.17121044,0.0936318,-0.049959697
There weren't,0.033660933,-0.034214254,0.11046099
There weren't,-0.0066336063,0.17574798,0.15074961
He hadn't felt,0.62421954,0.8141067,0.77429026
"He still had plenty of questions, plenty of doubts, but he wouldn't get",-0.19400874,-0.044432268,0.003524811
"His head pounded, but he didn't seem to have",1.0,0.19048607,0.043926913
I don't see,1.0,0.7819415,0.9518159
I don't see,0.4316524,1.0,0.6764873
He didn't turn on,0.245888,0.091267236,0.041785806
"Besides, there haven't been",-0.14084972,-0.08393409,-0.010285393
Widdershins didn't hear,0.4121892,0.46091437,0.2254579
And there aren't,0.03640128,-0.5407091,0.101161554
So why don't we postpone,0.18244876,-0.050467484,0.015756637
We didn't see,-0.08711288,0.057736747,-0.052746434
And I haven't uncovered,-0.8203501,-0.05433752,0.23668492
The analysis won't give,-0.08868093,0.008731768,-0.17573836
We haven't uncovered,0.16985725,1.0,0.120645896
I didn't bring,0.26965797,0.17053886,-0.28626448
We don't want,0.11723448,0.011718784,0.09207246
He don't make,0.2903845,0.98634166,0.38856217
I don't make,0.36586216,0.30424052,-0.011687979
He won't make,0.18722092,0.2925867,0.1440158
I don't have,0.2760437,0.47545227,0.6068427
"Dark trees lined the road on both sides, and there didn't seem to be",0.26032528,0.04705383,-0.12790778
I haven't heard,0.7665413,0.80173236,0.35281447
I haven't given you,0.2778023,0.45906186,0.19062576
There aren't,-0.14182955,-0.005370471,0.051074006
There aren't,-0.20419455,-0.004378943,-0.015202294
We don't dare take,0.38381135,0.5750778,0.3383957
We don't want,0.040361684,0.036108065,-0.026443908
"You keep pressing us for answers, when we haven't",-0.2680659,-0.3080969,-0.21274368
I didn't know,0.24636567,1.0,0.5203071
Since we both understand and there aren't,-0.22733375,0.03965811,-0.3298983
We won't discuss,0.24476793,0.2923889,0.06524271
"Durrani's lips were moving, but he wasn't gelling",0.8129986,0.32100856,0.29977557
There aren't,-0.15325858,0.0027495036,0.00937111
The dog didn't seem to have,0.67856866,0.52048165,0.4536143
I don't have,0.43319362,0.7006004,0.21035764
He wasn't keeping,0.6354135,0.66917014,0.9264366
"""Well, if they could hold him as their prisoner, Gil snapped, """"they sure as hell won't have",-0.29605842,-0.22698234,-0.12127474
"He turned his face to the shadows of the wall, but Rudy wasn't going to take",0.4638919,0.25672242,-0.7481272
"But there are formalities to be observed, and he didn't have",0.0409703,-0.0413529,-0.36960435
And don't give Trixy,0.20336188,-0.05557239,-0.18855391
But at least he doesn't make,0.2225942,-0.16285181,-0.06720818
He hoped that the others hadn't had,-0.060664766,-0.1155279,-0.48618203
You're… you're showing… you don't have,0.0051135826,-0.2402209,-0.23871742
"Based on past experience, I didn't have",-0.30344728,0.092957065,-0.33006364
I didn't have,0.27518204,0.34313172,0.034290604
Too bad I don't know,-0.01694447,-0.16797033,0.16549495
We don't need,0.23101822,0.27182853,0.34284657
"From everything I can tell, they don't have",-0.34758052,-0.115243725,0.19501576
You don't have,-0.6174796,-0.4121295,-0.6335593
"I mean, shit, the guy doesn't have",0.19108675,0.2769383,-0.17960314
"They've had to pay twice now, and she wants to make sure there aren't",-0.078672126,-0.019861965,-0.07486767
And I didn't see,-0.15020855,-0.16649592,-0.094550245
He didn't ask,0.26846594,0.5901274,0.63656175
"In fact, I haven't heard",-1.0,-0.22317028,-0.92347056
And I damn sure won't take,0.50968045,0.14825499,0.44380623
We haven't gotten,-0.09613144,0.29520684,0.6094295
"Besides, I don't think I had",0.5616473,0.06440029,0.21071486
"""He realized that he hadn't done",0.40129885,0.30356997,0.15207608
That was why he didn't want,0.18474318,0.35151005,0.04455523
There don't seem to be,-0.64746326,-1.0,-0.54171205
I haven't seen,-0.06267715,0.078690566,0.11806333
We weren't expecting,0.15094008,0.12490451,0.0664302
I won't waste,0.094931886,-0.04454917,-0.06615554
I won't waste,0.0012832291,0.16139783,0.07176051
I haven't got,-0.17889196,0.14976022,-0.03450036
You haven't given me,-0.5776545,-1.0,-1.0
I definitely don't want to miss,0.055451423,0.08737285,-0.2514248
I don't have,0.3246279,0.5078389,0.30872434
Allen won't take,-0.16162288,-0.0012784109,-0.3541969
But he hadn't taken,0.04255813,0.08545718,-0.10713322
I don't anticipate,1.0,1.0,1.0
I'd bet my life that our mystery man didn't leave,0.54373866,0.7160332,0.62549937
I haven't got,0.170997,-0.13939175,-0.10268419
Guess I don't have,-0.19753166,-0.27830288,0.3421745
There aren't,-0.1520827,0.28134578,-0.08541845
There aren't,-0.16744852,0.0036930072,-0.029002834
He didn't have,0.07074622,0.22168365,-0.05250534
I don't want to hear,0.44473106,0.3680082,0.48207694
And there won't be,-0.5542024,-1.0,-1.0
Only this time I didn't have,-0.5051459,0.29195148,-0.267353
He sure hadn't needed,0.1596552,0.22571164,0.42773414
And I don't want,-0.028862892,-0.22673438,-0.10382471
There aren't,-0.14194126,-0.15578048,0.04981204
We don't have,0.17278506,0.57146627,0.2868117
We don't want,0.028393095,-0.013256242,-0.04341839
I don't have,0.39265552,1.0,0.5687246
I look real sexy when I don't have,0.90345186,-0.29562244,-0.5179168
I don't have,0.45355085,0.34451026,0.46943763
You don't have,-0.7303346,-0.65309757,-0.6859359
She sure didn't have,0.38810164,0.4584048,0.49436074
Long as you don't have,-0.20481685,0.3838299,-0.07409367
They sure hadn't had,0.1748221,0.1493558,0.098719485
"Come on, guys, let us see how you come when there aren't",0.055607516,-0.18715581,-0.27353036
"After all, apple pie tasted best when one hadn't had",0.04812332,0.6707175,-0.24470952
But Marge didn't show,0.22539991,0.2507976,0.27567023
"Besides, he hadn't sold",0.12109583,0.15607856,0.27596363
"Apparently, something had unsettled Telrii so much that he wasn't taking",0.4818788,0.29558787,-0.028892843
But his face didn't show,0.10666036,0.32369125,-0.14858012
I won't soon win,0.53577954,0.4587287,0.39551815
My grandchildren are going to be disappointed that I don't have,0.3527161,0.16935818,-0.6173595
Ten years ago there weren't,-0.058972776,-0.33947256,0.19823155
"The liquid must be ingested, and the victim won't display",0.21769096,-0.017278455,-0.0024507802
There weren't,-0.05605162,0.040445767,0.09909736
"There weren't, of course,",-0.44121367,-0.14977585,-0.44864765
But when Kaladin didn't make,0.01719562,0.113800354,-0.33175373
Either he didn't bring,-0.8394209,-1.0,-1.0
Jasnah hadn't made,0.31140158,0.07146349,0.050465528
"Rock's touch was deft, and Kaladin didn't feel",0.22054057,0.26447418,0.18220949
She didn't know of,0.10266487,0.09772582,-0.26482302
Wash the wound to make sure there aren't,-0.07029482,0.10935353,0.16703674
We don't answer to,0.43094155,0.59683764,0.7276477
Gavin hadn't made,-0.006584654,0.015369923,-0.3049536
"Her hair was askew, but he didn't see",-0.12861688,0.24940829,0.19374377
Karris didn't see,0.11142922,-0.19972023,-0.16373192
Give me a chance to check around a little more to be plumb certain she hasn't got,0.08957108,0.21914564,-0.03802293
She paid up her first week's bill promptly and we haven't,0.3156326,0.64375466,0.19823338
"Look, I don't have",0.68336296,0.9895579,1.0
He didn't have,0.10789566,0.304303,0.45793837
He checked the bedroom and the bathroom and didn't find,0.5877799,0.07002934,0.12799202
"She knew that he expected her to cry, but she didn't have",0.47333837,-0.4180804,0.008257351
We don't share,0.17977954,0.20653695,0.15538256
"In the meantime, Mr Bradley isn't answering",0.029457994,0.10054536,-0.036275737
Just don't have,0.15430422,0.43679702,0.031362902
She didn't have,0.49447033,0.24673685,0.18104246
She didn't make,0.49247572,0.44695193,0.32749763
"Stride added, 'The police officers who searched the house didn't find",0.34142658,0.4016117,0.2264527
We didn't have,0.16148865,0.16998692,0.41148722
I don't recall,1.0,1.0,1.0
You don't seem to have,0.45892292,-0.52361286,0.16227588
"He walked up and down the street, but he didn't see",0.94694364,0.13055149,0.1123305
No wonder be hadn't seen,0.40481043,-0.24586919,-0.23838678
There didn't seem to be,-0.76044345,-0.42523304,-0.6844884
There didn't seem to be,-0.10107654,-0.89637434,-0.77435005
There didn't seem to be,-0.54414725,-0.72412777,-0.81680447
It only took Jose about two seconds to find that she didn't have,0.16041824,0.06444355,0.3796447
"Unfortunately, Greenwinter came from the mountains, and there certainly aren't",-0.15159057,-0.8730382,-0.57025963
I wouldn't trust,0.10546304,0.14038259,0.057215687
I don't see,-0.01830027,-0.0690828,0.013695362
There haven't been,-1.0,-1.0,-1.0
"I needs some advice and help, nothing more, 'cept I don't want",0.18852618,0.09381168,0.2062806
I don't think it has,-0.004830505,0.04937536,-0.2701594
"Some went over-board and gave the black pits a ride, in the old style, but they didn't pick up",-0.2398081,0.21861343,-0.20321448
"Maybe she did, but he didn't trust",0.3464399,0.40643924,0.3501704
I don't want,0.022816487,-0.029720599,0.09331397
"Ollie called, and she let her mobile ring through to voice mail, because she didn't have",0.6808876,0.035106175,0.21528602
He was gonna buy two dogs — wasn't gonna let,0.17038342,0.77981526,0.46623394
There weren't,-0.019920658,0.40733436,0.035849202
But Roy didn't see,-0.30801284,-0.27380535,-0.6585218
"""It looks like candle wax, Joe said, """"but I don't see",0.8594903,0.27062184,0.21705861
But don't ask,0.6499318,0.7898693,0.56691056
"Under the circumstances, you probably don't want",0.31726855,0.02463339,-0.15755384
"Anyhow, I didn't hear",0.3679004,0.25943986,0.3490028
"For another, there aren't",-0.78415835,-0.8439649,-0.24796769
She didn't waste,0.14966837,0.31607133,0.3261873
I'd say your mother doesn't want,0.096336216,-0.020041656,0.28221253
He didn't seem to have,0.6310065,0.39906532,0.496178
I don't have,0.53478694,0.29073057,0.27284497
"The police cars and yellow crime-scene tape were gone, and she didn't see",0.76458144,-0.12764564,0.44203216
I didn't want to sound,-0.264017,-0.38154098,-0.06974774
She didn't see,0.33497798,0.079484046,0.09811742
"I guess, but I don't have",0.15924665,0.25229055,0.61323535
And he wasn't taking,-0.05196911,0.35833222,0.14850391
The tap was empty and I didn't see,-0.31817925,-0.20963793,-0.6922278
But obviously Yank hadn't given her,-0.070047215,0.0028156757,0.038049188
"Thanks for answering a question or two, and please…don't hold",-0.91935414,-0.7300642,-0.6218473
"I know you found your way home from this place more than once, but don't go taking",0.24186072,-0.28518358,0.29344177
I didn't find,0.21430957,0.082569405,0.08690829
"""But I didn't have",0.25048384,0.2914351,0.286088
Maybe because the rustling sounded like curtains and there weren't,0.4562985,0.32972956,0.13747387
There weren't,0.03641505,0.24955545,-0.11148306
Even if you don't have,0.2391039,0.55221677,0.4526148
"From the looks of things, he'd be willing to bet that she wasn't wearing",0.15959589,0.18927208,-0.21484512
So that's why he didn't leave,0.15603451,0.13621081,0.24074431
I haven't been doing,-0.02128935,-0.15040071,-0.0105765425
I didn't hear,0.22644296,0.2795289,0.40871435
I hadn't played,0.42155477,0.33766112,0.30798447
I wasn't going to find,0.309291,1.0,0.14474322
The Coroner up there hasn't received,0.27334976,0.4206076,-0.0037560083
I thought Jace didn't have,-0.02411236,1.0,1.0
The name didn't ring,-0.19541524,0.2113379,0.28835982
"I was surprised to see a customer in the shop, since there weren't",-0.13651112,-0.06957884,0.20035794
I don't want,-0.19348705,-0.050998442,-0.15199734
There hadn't been,-1.0,-1.0,-1.0
I haven't done,0.004144292,-0.029655771,0.25566003
She didn't need,0.3171506,0.26950124,0.28226948
There weren't,0.18538287,0.09351412,0.13488683
I didn't set,0.11125897,0.33511764,0.17150463
There hadn't been,-1.0,-1.0,-1.0
She hasn't had,0.44740385,0.31209958,0.28246456
The couples don't have,0.12374282,0.08854759,-0.061735097
We don't have,0.4526594,0.5436119,0.38868877
And he didn't have,-0.013302065,-0.046143264,-0.16554816
But Danny didn't know of,-0.14938436,0.008597111,-0.746113
I don't have,0.5658742,0.35173672,0.38850406
And didn't have,0.053413726,-0.09521726,0.008091022
And that was all right because there weren't,-0.3971842,-0.23305437,-0.13886409
He didn't give off,0.043214228,0.45583946,0.03351014
I don't have,0.46547267,0.2722132,0.398138
I don't want to make,-0.57727224,0.008141593,0.08977796
But there weren't,-0.19349256,-0.1343889,-0.19025682
I don't see,0.86778516,0.26247784,0.4984781
But the individual wasn't,0.08886082,0.18250726,0.2821751
I don't in,-0.117511146,0.11129146,0.1434224
I don't want,0.115254894,-0.040832095,0.04446903
We won't take,-0.03945933,0.2871635,0.013101729
Well you won't be,-0.35277218,-0.49968612,-1.0
I haven't got,-0.060815345,0.0822055,0.22003788
"And this time, she didn't leave",-0.46452,-0.2784516,-0.40850168
"And besides, I didn't see",-0.6377937,-0.094007425,-0.33538574
I don't want to have,0.084030524,0.11371028,0.096658304
I haven't tripped,0.28139102,0.8977061,0.6884484
And I didn't do you,0.11388663,0.16894767,-0.22636466
I didn't have,0.22687371,0.2693083,0.22369826
"My nephew wondered if he'd been shell-shocked, but I didn't see",0.2418706,0.24234422,0.065428466
"She must have been one of the casualties, because I haven't had",-0.05543597,0.8138342,0.6637132
"I swear, I won't ask you",0.6366971,0.57650787,0.40254813
"On the other hand, I hadn't had",-0.22543949,-0.4148498,-0.3483425
They also pointed up the fact that Victoria hadn't planted,0.73686254,0.2223975,-0.15229869
We don't have,0.9825308,0.30968398,0.2929437
She was striking and uninhibited and I didn't have,0.35873714,0.20908883,-0.35247123
— Best make sure I don't got,0.74637836,-0.33529443,-0.21862759
Especially since I don't know,-0.37902778,-0.3929547,-0.5258013
He was doing so much squealing he confessed he hadn't paid,0.22000943,0.29380563,0.16606161
I don't want,-0.022662371,0.24071638,-0.042247858
I said I didn't have,0.04390189,-0.2281272,-0.13787812
I wouldn't make,0.08966686,0.6336346,0.35616004
"And what was more, he wasn't taking",-0.21233773,0.38040322,0.009734348
He hadn't made,0.33455792,0.48603636,0.40480447
Slick's face didn't show,0.31294647,0.54351157,0.584989
The woman across the way lost interest and returned to her chores when she didn't hear,-0.06636333,-0.025337836,-0.3905415
Since there weren't,-0.12506957,-0.22484186,-0.19998719
There aren't,-0.08398554,-0.1520468,-0.10970815
And I don't want,-0.05630338,-0.3223983,-0.18199554
"Charlotte had stopped bleeding, and she certainly wasn't showing",-0.1365113,-0.58135605,-0.21369594
"And other than this old man, there didn't seem to be",-0.4092466,-0.03864751,-0.51455134
I don't know,1.0,1.0,1.0
"Maybe, he concluded, it was because they didn't have",0.54632384,0.43000376,0.5296231
She didn't see,0.20896408,0.16319738,-0.08215131
She hadn't found,0.33405086,0.37372535,0.16873465
He didn't take,0.094813704,0.37090495,0.47025093
I don't know,0.88275284,0.70354384,0.8661904
"Four more women were listed, but they didn't have",0.3339521,-0.029231893,0.108299255
He didn't ask,0.21653797,0.35959783,0.30588984
"She could stab him with it, but it wouldn't do",-0.23206085,0.41419658,-0.30766293
There weren't,-0.048688643,-0.0007172504,0.098053776
NCIC didn't contain,0.2556988,0.26835677,0.09099862
It didn't contain,-0.0074515846,0.05965271,0.04159444
She checked the two locks and didn't see,0.108841956,-0.27984485,0.22018728
He didn't have,0.26771417,0.31335378,0.14924219
I don't see,0.15485454,0.33104336,-0.14800605
She hadn't seen,0.4120587,0.5102076,0.03554796
"She looked over her shoulder, the muscles groaning in protest, and didn't see",0.12572683,0.0137642035,-0.005894018
"He never knew his grandparents, and his mother was an only child so there weren't",0.26856825,0.25001737,0.04156346
JR. didn't have,0.111767426,0.8257126,0.28724945
The problem is McFadden didn't have,0.06882375,0.1645052,0.35489026
He didn't make,0.16609088,0.43094718,0.38000992
"As you can see, there aren't",-0.15187474,-0.45926958,-0.124745786
She doesn't keep,0.53890395,0.73662007,0.31734255
There aren't,-0.19447191,-0.26099855,0.5642661
There haven't been,-1.0,-1.0,-1.0
I don't need,0.33494338,0.32769787,0.46374524
There weren't,0.15176554,-0.039829794,-0.11759609
We don't have,0.31873575,0.3128183,0.2992116
"""No, said Bryan , """"I don't think I've",0.13304868,-0.06904602,0.02792508
He doesn't have,0.3633847,0.77165836,0.43173227
I didn't detect,0.23178165,0.42200798,0.40085894
Ryland wasn't about to take,-0.113116436,0.034814324,-0.12579238
There aren't,-0.6916542,-0.084070966,0.016074808
I don't have,0.71226496,0.655555,0.27669245
Posturing and threatening each other isn't winning,0.9377058,1.0,0.8606818
There aren't,-0.08310895,-0.021867288,-0.023139462
But you don't want to take,-0.9259573,0.2457966,-0.1533865
I don't know,0.4637406,0.7910298,1.0
"Indeed, we didn't create",0.26697096,0.34855196,0.04745583
There hasn't been,-1.0,-1.0,-0.99338067
We won't have,0.06683417,0.06907002,0.25426936
We don't have,0.25273627,0.42143238,0.26974133
Quinn would have sworn there hadn't been,-0.18970637,-0.23822652,-0.15425757
I don't see,0.4149213,1.0,0.113109306
"""The front desk girl says, """"I don't hear",0.1514508,0.18625173,-0.14099216
"""The mouth says, """"He doesn't have",0.026799772,0.40433022,0.32035118
"After all, this wasn't",-0.089857295,-0.16384399,-0.34257388
I don't have,0.688902,0.66499776,0.5598752
I didn't see you slay,0.21682185,0.31804067,0.5386889
We won't have,0.036501866,0.09787178,0.048059385
That's why there aren't,-0.04917136,-0.18016112,-0.20266649
There weren't,-0.038297687,0.11138758,0.11024384
There aren't,-0.15983598,-0.15607782,0.035753444
It hasn't,1.0,0.59672457,0.48255834
"Ronnie whistled softly, he could hardly believe his luck, she wasn't wearing",0.41325492,-0.09868728,0.26872241
I've got a good family; don't have,0.8517912,1.0,0.8335084
I don't see,-0.045648314,0.8505113,0.22780767
"It hadn't, by",-0.23498634,-0.25285053,-0.42999572
There aren't,-0.07650992,-0.05049672,-0.012138991
It won't try,0.19409114,0.07378617,0.051479165
Maxine hadn't taken,-0.021997262,-0.41350445,0.057825837
I don't have,0.40676412,0.30955222,0.68387413
I don't know,0.38345733,1.0,0.88704807
There aren't,-0.10937075,-0.11314208,0.082753934
They didn't make,0.31656387,0.08440789,0.24856529
I won't make,0.2606591,0.26366606,0.071932994
There aren't,-0.14751625,-0.18507245,-0.054680455
‘I don't want to break,0.056100875,-0.33026823,-0.5585966
There certainly wouldn't be,-0.23992884,-0.52173245,-0.80463684
You better hope he hasn't,-0.04787324,-0.31852216,-0.13685365
I haven't had,0.32431498,0.1409259,0.1987253
I know for a fact there aren't,-0.14255764,-0.44724748,-0.13407508
