explanations,datasets,attributed_fns,methods,reversed,Value,Rank,Sentence
attention,npi,logit,baseline,original,[33.707417   8.362667   7.5539103],0.3333333333333333,Even that boy
attention,npi,logit,baseline,original,[38.483303  7.772497],0.5,Even Eric
attention,npi,logit,baseline,original,[34.390587  7.59242   7.371305],0.3333333333333333,Even Janet should
attention,npi,logit,baseline,original,[34.50808   8.169872  8.071337],0.5,Even Stacey
attention,npi,logit,baseline,original,[38.403515  8.055671],0.5,Even Elizabeth
attention,npi,logit,baseline,original,[37.91859   8.898273],0.5,Even Vanessa
attention,npi,logit,baseline,original,[34.70586    9.822085   6.3162794],0.5,Even Tonya
attention,npi,logit,baseline,original,[33.472755  7.859963  8.604585],0.5,Even some skirts
attention,npi,logit,baseline,original,[33.550446  8.006276  8.286925],0.5,Even most doctors
attention,npi,logit,baseline,original,[34.466724   7.8326283  7.666053 ],0.3333333333333333,Even Margaret can
attention,npi,logit,baseline,original,[30.643303   6.1828427  8.019137   6.919587 ],0.3333333333333333,Even most actresses have
attention,npi,logit,baseline,original,[33.222286   8.475428   7.8745704],0.3333333333333333,Even Alice had
attention,npi,logit,baseline,original,[38.34899   8.224927],0.5,Even Beth
attention,npi,logit,baseline,original,[33.61446   8.091234  8.055501],0.3333333333333333,Even Steve had
attention,npi,logit,baseline,original,[38.16833  8.10421],0.5,Even Benjamin
attention,npi,logit,baseline,original,[34.600716   7.8935347  7.470394 ],0.3333333333333333,Even Richard can
attention,npi,logit,baseline,original,[33.257202  8.006795  7.788256],0.3333333333333333,Even some adults
attention,npi,logit,baseline,original,[32.917736   8.3747015  8.318468 ],0.3333333333333333,Even the teenager
attention,npi,logit,baseline,original,[33.32991    7.7522464  8.275421 ],0.5,Even many customers
attention,npi,logit,baseline,original,[38.289482  8.584694],0.5,Even Mitchell
attention,npi,logit,baseline,original,[34.300537  8.255121  7.40561 ],0.3333333333333333,Even Christine did
attention,npi,logit,baseline,original,[34.35092    9.8749695  6.336692 ],0.5,Even Renee
attention,npi,logit,baseline,original,[33.206936   8.424517   7.2470236],0.3333333333333333,Even dancers have
attention,npi,logit,baseline,original,[33.772186   8.191606   7.7531805],0.3333333333333333,Even Maria has
attention,npi,logit,baseline,original,[30.121342  6.228431  8.681485  7.130329],0.3333333333333333,Even most apples have
attention,npi,logit,baseline,original,[33.317635  8.115271  7.572475],0.3333333333333333,Even those adults
attention,npi,logit,baseline,original,[30.17718    6.567133   3.1476572  7.5632153  6.922004 ],0.3333333333333333,Even the Impressionists
attention,npi,logit,baseline,original,[33.31434   8.108899  8.597536],0.5,Even these libraries
attention,npi,logit,baseline,original,[32.657722   4.526624   5.1876287  8.50837  ],0.5,Even Melinda had
attention,npi,logit,baseline,original,[34.128323  7.944771  7.698477],0.3333333333333333,Even George has
attention,npi,logit,baseline,original,[38.148064  8.444549],0.5,Even Cheryl
attention,npi,logit,baseline,original,[32.657722   4.526624   5.1876287  8.50837  ],0.5,Even Melinda had
attention,npi,logit,baseline,original,[34.19088  10.697942  6.148786],0.5,Even Candice
attention,npi,logit,baseline,original,[34.828712   7.1933556  7.336746 ],0.5,Even Carolyn could
attention,npi,logit,baseline,original,[38.479046  8.150057],0.5,Even Helen
attention,npi,logit,baseline,original,[38.012463  8.760927],0.5,Even hats
attention,npi,logit,baseline,original,[38.44285    7.6069345],0.5,Even James
attention,npi,logit,baseline,original,[31.269121   6.7344174  7.861828   7.3486376],0.5,Even the cashiers
attention,npi,logit,baseline,original,[31.704048  6.861676  8.143493  6.450369],0.5,Even some sweaters
attention,npi,logit,baseline,original,[33.51467    7.5796957  9.002534 ],0.5,Even most universities
attention,npi,logit,baseline,original,[38.217724  8.825832],0.5,Even Connie
attention,npi,logit,baseline,original,[38.389545   7.8864655],0.5,Even Donald
attention,npi,logit,baseline,original,[34.323017  8.497388  7.464785],0.3333333333333333,Even Alan did
attention,npi,logit,baseline,original,[32.66533   8.066137  9.020727],0.5,Even the pedestrians
attention,npi,logit,baseline,original,[30.6663     6.332837   7.839368   7.0152817],0.3333333333333333,Even this hospital does
attention,npi,logit,baseline,original,[33.687984  10.756859   6.1797147],0.5,Even Kendra
attention,npi,logit,baseline,original,[33.927185  8.229708  7.594386],0.3333333333333333,Even Jerry has
attention,npi,logit,baseline,original,[34.058315   7.9756784  7.424124 ],0.3333333333333333,Even Florence should
attention,npi,logit,baseline,original,[33.966335   8.615505   7.3857837],0.3333333333333333,Even Tammy does
attention,npi,logit,baseline,original,[29.640911   5.761889   3.7440557  5.8560567  7.881034 ],0.5,Even some cashier had
attention,npi,logit,baseline,original,[31.025145   7.099197   7.2438912  7.1004705],0.3333333333333333,Even every painting did
attention,npi,logit,baseline,original,[34.731323   7.424352   7.3418827],0.3333333333333333,Even Carol should
attention,npi,logit,baseline,original,[38.482742  8.204478],0.5,Even Mary
attention,npi,logit,baseline,original,[33.32991    7.7522464  8.275421 ],0.5,Even many customers
attention,npi,logit,baseline,original,[31.706816   6.516636   6.9283423  7.615314 ],0.5,Even most actors would
attention,npi,logit,baseline,original,[34.195793  8.238159  8.142465],0.3333333333333333,Even this guest
attention,npi,logit,baseline,original,[31.27356    5.8429027  7.5495834  7.216996 ],0.3333333333333333,Even some lady has
attention,npi,logit,baseline,original,[33.976017   7.6614175  8.143956 ],0.5,Even some museum
attention,npi,logit,baseline,original,[31.270237   6.7249703  6.8438764  7.680697 ],0.5,Even some museum would
attention,npi,logit,baseline,original,[38.276794  8.018095],0.5,Even Katherine
attention,npi,logit,baseline,original,[33.880013  8.203523  8.046221],0.3333333333333333,Even Tammy would
attention,npi,logit,baseline,original,[34.144024  9.911974  6.356876],0.5,Even Kayla
attention,npi,logit,baseline,original,[33.257305  8.338188  8.373708],0.5,Even this library
attention,npi,logit,baseline,original,[33.33559   8.627456  8.410192],0.3333333333333333,Even those actors
attention,npi,logit,baseline,original,[31.48297    3.2267787  3.5703285  5.257563   8.260462 ],0.5,Even a lot of governments
attention,npi,logit,baseline,original,[34.50353    7.4296455  7.9752574],0.5,Even Valerie would
attention,npi,logit,baseline,original,[30.410563   6.095056   7.5528135  7.606881 ],0.5,Even all women had
attention,npi,logit,baseline,original,[30.859354   6.714243   7.551985   7.3749976],0.3333333333333333,Even the lamp had
attention,npi,logit,baseline,original,[33.772186   8.191606   7.7531805],0.3333333333333333,Even Maria has
attention,npi,logit,baseline,original,[33.99766    7.589071   7.8746142],0.5,Even Eva will
attention,npi,logit,baseline,original,[31.62619   7.358206  6.052693  7.985587],0.3333333333333333,Even these waitresses
attention,npi,logit,baseline,original,[33.513622   7.9541626  8.017323 ],0.5,Even Danielle had
attention,npi,logit,baseline,original,[34.480972   7.7091913  7.370698 ],0.3333333333333333,Even Douglas could
attention,npi,logit,baseline,original,[38.686047   7.3561068],0.5,Even David
attention,npi,logit,baseline,original,[37.740417  8.851718],0.5,Even drivers
attention,npi,logit,baseline,original,[34.35092    9.8749695  6.336692 ],0.5,Even Renee
attention,npi,logit,baseline,original,[34.038166   7.846875   7.5058775],0.3333333333333333,Even Vanessa might
attention,npi,logit,baseline,original,[37.90754   8.344423],0.5,Even Alexander
attention,npi,logit,baseline,original,[38.21297   8.612342],0.5,Even Sandra
attention,npi,logit,baseline,original,[29.377277   3.0052266  3.1782727  3.2792099  7.404557   6.9951677],0.3333333333333333,Even a lot of teachers have
attention,npi,logit,baseline,original,[32.78405   3.814177  6.374886  8.011162],0.5,Even Becca has
attention,npi,logit,baseline,original,[30.606228  6.609051  7.907254  6.912715],0.3333333333333333,Even some actors do
attention,npi,logit,baseline,original,[38.271492  8.502346],0.5,Even Nicole
attention,npi,logit,baseline,original,[31.310608   5.952047   6.330783   7.5164747],0.5,Even some customers should
attention,npi,logit,baseline,original,[38.45892   8.244531],0.5,Even Anne
attention,npi,logit,baseline,original,[37.91859   8.898273],0.5,Even Vanessa
attention,npi,logit,baseline,original,[38.289482  8.584694],0.5,Even Mitchell
attention,npi,logit,baseline,original,[31.032482   6.4361696  7.8159084  7.5308533],0.3333333333333333,Even that fork should
attention,npi,logit,baseline,original,[31.351046   6.527663   6.7298746  7.62341  ],0.5,Even every skirt would
attention,npi,logit,baseline,original,[34.052948   7.5122147  8.033429 ],0.5,Even many apples
attention,npi,logit,baseline,original,[33.90279    8.889529   7.3884096],0.5,Even cashiers
attention,npi,logit,baseline,original,[38.325474  8.201653],0.5,Even Daniel
attention,npi,logit,baseline,original,[38.402317  8.180448],0.5,Even Victoria
attention,npi,logit,baseline,original,[38.52363    7.9953575],0.5,Even Brett
attention,npi,logit,baseline,original,[34.02029    7.1537485  8.404859 ],0.5,Even most legislatures
attention,npi,logit,baseline,original,[32.891773  9.079191  7.831167],0.3333333333333333,Even this woman
attention,npi,logit,baseline,original,[38.04956   8.748379],0.5,Even Brenda
attention,npi,logit,baseline,original,[31.305378   6.3443427  7.279756   7.1722584],0.3333333333333333,Even that person has
attention,npi,logit,baseline,original,[34.554825   7.6626444  7.3431363],0.3333333333333333,Even Phillip should
attention,npi,logit,baseline,original,[33.52722    8.6053     7.5924535],0.3333333333333333,Even Adam has
attention,npi,logit,baseline,original,[33.9101     7.821624   7.8815403],0.5,Even Pamela has
attention,npi,logit,baseline,original,"[28.18192    3.338188   2.7073908  3.2276115  3.1837273  6.1126795
  7.6898828]",0.5,Even a lot of skateboards had
attention,npi,logit,baseline,original,[38.44285    7.6069345],0.5,Even James
attention,npi,logit,baseline,original,[31.63662    7.1612825  6.200863   7.933412 ],0.3333333333333333,Even those waitresses
attention,npi,logit,baseline,original,[34.457108  7.851235  7.305916],0.3333333333333333,Even Daniel might
attention,npi,logit,baseline,original,[33.76601    7.8005085  8.418506 ],0.5,Even all actors
attention,npi,logit,baseline,original,[33.62821    7.5408278  7.5938983],0.5,Even all adults
attention,npi,logit,baseline,original,[32.95206   8.101942  8.694589],0.5,Even these museums
attention,npi,logit,baseline,original,[33.537136  8.009217  8.112689],0.5,Even Nina had
attention,npi,logit,baseline,original,[32.870495  9.013287  7.96776 ],0.3333333333333333,Even Adam had
attention,npi,logit,baseline,original,[31.176617   3.5958238  3.6233802  5.1824465  8.109493 ],0.5,Even a lot of women
attention,npi,logit,baseline,original,[38.276794  8.018095],0.5,Even Katherine
attention,npi,logit,baseline,original,[33.205738   8.006175   7.7001157],0.3333333333333333,Even many adults
attention,npi,logit,baseline,original,[38.1961    8.506029],0.5,Even Kristen
attention,npi,logit,baseline,original,[34.173927   7.9893303  7.8098416],0.3333333333333333,Even the coat
attention,npi,logit,baseline,original,[38.0494    8.529453],0.5,Even Cynthia
attention,npi,logit,baseline,original,[34.183315   7.1019483  8.186105 ],0.5,Even all windows
attention,npi,logit,baseline,original,[31.142878   4.0777025  7.0791054  8.199873 ],0.5,Even Winston Churchill had
attention,npi,logit,baseline,original,[30.967535   6.0065475  7.9451995  7.176507 ],0.3333333333333333,Even a legislature had
attention,npi,logit,baseline,original,[34.46956    8.204189   7.3685184],0.3333333333333333,Even Christina did
attention,npi,logit,baseline,original,[33.82016    8.67536    7.4929333],0.3333333333333333,Even every dress
attention,npi,logit,baseline,original,[32.782124   5.0743275  5.3072567  8.18467  ],0.5,Even Tonya has
attention,npi,logit,baseline,original,[33.40952   7.791568  8.075422],0.5,Even Meredith had
attention,npi,logit,baseline,original,[30.830696   6.4148865  7.4960876  7.063824 ],0.3333333333333333,Even the carriage has
attention,npi,logit,baseline,original,[33.425694   5.0444126  4.9044805  8.005229 ],0.3333333333333333,Even Tamara can
attention,npi,logit,baseline,original,[33.66187   7.603841  7.836364],0.5,Even all children
attention,npi,logit,baseline,original,[30.804937  6.228037  8.67812   6.845387],0.3333333333333333,Even some associations did
attention,npi,logit,baseline,original,[33.54106    5.2210317  4.7109194  7.965337 ],0.3333333333333333,Even Marla can
attention,npi,logit,baseline,original,[33.51315    8.3432665  7.672015 ],0.3333333333333333,Even Tara has
attention,npi,logit,baseline,original,[30.837723   5.969241   7.4963965  7.391079 ],0.3333333333333333,Even most adults did
attention,npi,logit,baseline,original,[31.7422     6.6469083  6.181397   7.794792 ],0.3333333333333333,Even the waitresses
attention,npi,logit,baseline,original,[33.718784  8.200663  8.250637],0.5,Even the spotlight
attention,npi,logit,baseline,original,[38.16275  8.31071],0.5,Even Stephanie
attention,npi,logit,baseline,original,[37.802734  9.041264],0.5,Even Diana
attention,npi,logit,baseline,original,[30.869572   6.5820427  7.967032   6.789083 ],0.3333333333333333,Even some carts do
attention,npi,logit,baseline,original,[37.007744  9.469975],0.5,Even pedestrians
attention,npi,logit,baseline,original,[38.03684   8.782166],0.5,Even Amanda
attention,npi,logit,baseline,original,[31.379662   3.4340477  3.5523143  5.5562644  8.401565 ],0.5,Even a lot of drivers
attention,npi,logit,baseline,original,[33.6789     5.510499   4.4369464  7.4809628],0.3333333333333333,Even Kristin did
attention,npi,logit,baseline,original,[33.31405   8.210706  8.35632 ],0.5,Even these associations
attention,npi,logit,baseline,original,[33.910885  8.232202  6.815744],0.3333333333333333,Even the people
attention,npi,logit,baseline,original,[31.179276   6.7661376  7.3092694  6.831065 ],0.3333333333333333,Even the shirt did
attention,npi,logit,baseline,original,[29.906057   6.3397293  3.7498071  5.3604355  7.7574086],0.5,Even that grocery store had
attention,npi,logit,baseline,original,[38.16619   8.480405],0.5,Even Deborah
attention,npi,logit,baseline,original,[34.546783   7.7447057  7.3662844],0.3333333333333333,Even Martin might
attention,npi,logit,baseline,original,[32.95206   8.101942  8.694589],0.5,Even these museums
attention,npi,logit,baseline,original,[32.463898   4.2361183  6.8731794  7.311771 ],0.5,Even blouses do
attention,npi,logit,baseline,original,[33.62821    7.5408278  7.5938983],0.5,Even all adults
attention,npi,logit,baseline,original,[30.592989   6.956      4.6747723  5.1945505  6.8599157],0.3333333333333333,Even those shawls
attention,npi,logit,baseline,original,[33.83875    9.148541   6.7129297],0.3333333333333333,Even some person
attention,npi,logit,baseline,original,[33.641014   7.968121   7.6955733],0.3333333333333333,Even Tiffany has
attention,npi,logit,baseline,original,"[28.572838   3.2128267  2.7322788  3.0339873  3.2281296  6.459796
  7.5237293]",0.5,Even a lot of waiters had
attention,npi,logit,baseline,original,[38.441906  8.505847],0.5,Even Liam
attention,npi,logit,baseline,original,[31.501844   5.8940654  7.603879   7.5321164],0.5,Even some cashiers
attention,npi,logit,baseline,original,[38.224285  8.291919],0.5,Even Kathleen
attention,npi,logit,baseline,original,[32.928524  8.178057  9.505256],0.5,Even the Clintons
attention,npi,logit,baseline,original,[34.788475   7.2949343  7.2500224],0.3333333333333333,Even Alexander could
attention,npi,logit,baseline,original,[33.804634   8.496379   7.8548975],0.3333333333333333,Even every glass
attention,npi,logit,baseline,original,[33.777126  8.378276  7.796085],0.3333333333333333,Even the customer
attention,npi,logit,baseline,original,[34.331882   7.4762683  7.67243  ],0.5,Even a print
attention,npi,logit,baseline,original,[33.686447   7.4610963  8.790951 ],0.5,Even some senators
attention,npi,logit,baseline,original,[34.650932   7.4717426  7.3697276],0.3333333333333333,Even Kenneth could
attention,npi,logit,baseline,original,[33.941017  10.618871   5.6642647],0.5,Even Kristin
attention,npi,logit,baseline,original,[31.245937  6.228909  8.247616  6.761436],0.3333333333333333,Even many doors did
attention,npi,logit,baseline,original,[31.355942   6.015398   6.749975   7.0325913],0.5,Even the cakes could
attention,npi,logit,baseline,original,[37.72605  8.86126],0.5,Even Jesus
attention,npi,logit,baseline,original,[33.607872  8.0275    7.865562],0.3333333333333333,Even Martha has
attention,npi,logit,baseline,original,[33.79223    7.3899364  8.638072 ],0.5,Even some convertible
attention,npi,logit,baseline,original,[30.541725   6.4482303  7.4024234  7.375549 ],0.3333333333333333,Even this actress had
attention,npi,logit,baseline,original,[33.879204   7.713057   7.9196672],0.5,Even all ladies
attention,npi,logit,baseline,original,[30.569418   6.974637   8.213079   7.2066727],0.5,Even the Lutherans
attention,npi,logit,baseline,original,[31.729763   5.228482   6.6478453  7.1113443],0.5,Even a girl could
attention,npi,logit,baseline,original,[38.37583   8.294655],0.5,Even Aaron
attention,npi,logit,baseline,original,[38.47576   8.225826],0.5,Even Ronald
attention,npi,logit,baseline,original,[31.140005   6.686232   7.0872755  7.6854835],0.5,Even some boxes would
attention,npi,logit,baseline,original,[34.62567   8.053956  7.235052],0.3333333333333333,Even most eyes
attention,npi,logit,baseline,original,[33.886467   7.93107    7.8331904],0.3333333333333333,Even those doors
attention,npi,logit,baseline,original,[30.747507   6.159274   3.0878146  5.5333962  7.8687515],0.3333333333333333,Even the Lutherans would
attention,npi,logit,baseline,original,[33.44141    9.106695   7.0516777],0.3333333333333333,Even this person
attention,npi,logit,baseline,original,[30.162317   6.7541285  3.3969336  5.9897366  7.0008855],0.3333333333333333,Even the Lutherans did
attention,npi,logit,baseline,original,[30.569418   6.974637   8.213079   7.2066727],0.5,Even the Lutherans
attention,npi,logit,baseline,original,[38.311913  8.247114],0.5,Even Jane
attention,npi,logit,baseline,original,[34.238304  8.014967  7.678114],0.3333333333333333,Even Clyde can
attention,npi,logit,baseline,original,[33.402992   7.7295337  8.183571 ],0.5,Even the governments
attention,npi,logit,baseline,original,[30.6182    6.574255  8.174657  6.94516 ],0.3333333333333333,Even the apple does
attention,npi,logit,baseline,original,[33.609993   8.895947   7.9505615],0.3333333333333333,Even every shoe
attention,npi,logit,baseline,original,[31.563583   6.590625   8.204028   6.9467487],0.5,Even the cashier
attention,npi,logit,baseline,original,[31.451862   3.3613665  3.6758385  5.227499   7.642854 ],0.5,Even a lot of children
attention,npi,logit,baseline,original,[33.043503   7.7835317  8.837547 ],0.5,Even many guests
attention,npi,logit,baseline,original,[33.986046  7.827832  7.643937],0.3333333333333333,Even Edward has
attention,npi,logit,baseline,original,[33.38074   7.862817  8.319603],0.5,Even most customers
attention,npi,logit,baseline,original,[28.945562   2.9353657  2.9568589  4.5776653  8.710631   5.519312 ],0.5,Even a lot of cucumbers
attention,npi,logit,baseline,original,[33.223083  8.050382  8.820329],0.5,Even some guests
attention,npi,logit,baseline,original,[38.23154   8.183896],0.5,Even politics
attention,npi,logit,baseline,original,[33.914917   7.7434263  8.08208  ],0.5,Even some senator
attention,npi,logit,baseline,original,[33.622425   4.9608655  4.8115172  7.725841 ],0.3333333333333333,Even Tonya could
attention,npi,logit,baseline,original,[37.763367  8.750292],0.5,Even senators
attention,npi,logit,baseline,original,[33.692368  8.124351  8.900353],0.5,Even a glove
attention,npi,logit,baseline,original,[33.695652 10.622581  5.755606],0.5,Even Jacqueline
